"Title","Link","University","Department","Study_Level","Duration","ECTS","Tuition","Language","Field"
"Bachelor  Diploma in Architecture","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1","Neapolis University","School of Architecture, Land and Environmental Sciences","Bachelor",NA,NA,NA,"English","Architecture and Construction"
"Bachelor of Landscape Architecture (BLA)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=5","Neapolis University","School of Architecture, Land and Environmental Sciences","Bachelor",NA,NA,NA,"English","Architecture and Construction"
"BSc in Civil Engineering","https://www.studycyprus.eu/en-gb/find/degree/?uInput=7","Neapolis University","School of Architecture, Land and Environmental Sciences","Bachelor",NA,NA,NA,"English","Architecture and Construction"
"BSc in Real Estate Valuation and Development","https://www.studycyprus.eu/en-gb/find/degree/?uInput=9","Neapolis University","School of Architecture, Land and Environmental Sciences","Bachelor",NA,NA,NA,"English","Architecture and Construction"
"Master in Real Estate","https://www.studycyprus.eu/en-gb/find/degree/?uInput=11","Neapolis University","School of Architecture, Land and Environmental Sciences","Master",NA,NA,NA,"English","Architecture and Construction"
"Master of Construction Management","https://www.studycyprus.eu/en-gb/find/degree/?uInput=15","Neapolis University","School of Architecture, Land and Environmental Sciences","Master",NA,NA,NA,"English","Architecture and Construction"
"Master of Landscape Architecture (MLA)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=17","Neapolis University","School of Architecture, Land and Environmental Sciences","Master",NA,NA,NA,"English","Architecture and Construction"
"BA in Interior Design","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1121","Frederick University","Department of Fine and Applied Arts","Bachelor","4 years","240",NA,"English","Architecture and Construction"
"MSc in Conservation and Restoration of Historical Structures and Monuments","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1145","Frederick University","Department of Architecture","Master","1,5 years","90",NA,"English","Architecture and Construction"
"BSc in Civil Engineering","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1128","Frederick University","Department of Civil Engineering","Bachelor","4 years","240",NA,"English","Architecture and Construction"
"BA in Architecture","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1167","Frederick University","School of Engineering","Bachelor","4 to 5 years","240-300",NA,"English","Architecture and Construction"
"PhD in Civil Engineering","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1158","Frederick University","Frederick University","Doctorate","4 years","240",NA,"English","Architecture and Construction"
"Architecture (BAArch, 4 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=870","University of Nicosia","Architecture","Bachelor","4 έτη","240",NA,"English","Architecture and Construction"
"Architecture (DipArch, 5 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=871","University of Nicosia","Architecture","Doctorate","5 έτη","300",NA,"English","Architecture and Construction"
"Architecture Concentrations: 1. Sustainable Architecture, 2. Interior Architecture (MA, 1.5 Years or 3 semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=872","University of Nicosia","Architecture","Master","1.5 έτος","90",NA,"English","Architecture and Construction"
"Interior Design (BA, 4 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=953","University of Nicosia","Architecture","Bachelor","4 έτη","240",NA,"English","Architecture and Construction"
"Civil and Environmental Engineering (BSc, 4 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=897","University of Nicosia","Engineering","Bachelor","4 έτη","240",NA,"English","Architecture and Construction"
"Civil & Environmental Engineering","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1034","European University Cyprus","The School of Sciences","Bachelor","4 χρόνια","240",NA,"English","Architecture and Construction"
"ΘΕΑΤΡΙΚΕΣ ΣΠΟΥΔΕΣ","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1486","Open University of Cyprus","ΣΧΟΛΗ ΑΝΘΡΩΠΙΣΤΙΚΩΝ & ΚΟΙΝΩΝΙΚΩΝ ΕΠΙΣΤΗΜΩΝ","Master","2","120","5400","English","Arts"
"ΘΕΑΤΡΙΚΕΣ ΣΠΟΥΔΕΣ","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1487","Open University of Cyprus","ΣΧΟΛΗ ΑΝΘΡΩΠΙΣΤΙΚΩΝ & ΚΟΙΝΩΝΙΚΩΝ ΕΠΙΣΤΗΜΩΝ","Doctorate","3","180","4050","English","Arts"
"Music Education","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1078","European University Cyprus","Distance Education Unit","Master","18 μήνες","90",NA,"English","Arts"
"BA in Fashion Design and Image","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1119","Frederick University","Department of Fine and Applied Arts","Bachelor","4 years","240",NA,"English","Arts"
"BA in Graphic and Advertising Design","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1120","Frederick University","Department of Fine and Applied Arts","Bachelor","4 years","240",NA,"English","Arts"
"BA in Interior Design","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1121","Frederick University","Department of Fine and Applied Arts","Bachelor","4 years","240",NA,"English","Arts"
"BA Audio Visual Communication","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1116","Frederick University","Department of Journalism, Communication and Mass Media","Bachelor","4 years","240",NA,"English","Arts"
"Dance (BA, 4 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=911","University of Nicosia","Music and Dance","Bachelor","4 έτη","240",NA,"English","Arts"
"Music (MMus, 1.5 Years or 3 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=977","University of Nicosia","Music and Dance","Master","1.5 έτος (3 εξάμηνα)","90",NA,"English","Arts"
"Music Concentrations: 1. Classical Performance, 2. Jazz Performance, 3. Music Education, 4. Creative Music Technology (BMus, 4 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=978","University of Nicosia","Music and Dance","Bachelor","4 έτη","240",NA,"English","Arts"
"PhD Applied Arts","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1156","Frederick University","Frederick University","Doctorate","4 years","240",NA,"English","Arts"
"Digital Communications and Mass Media Concentrations: 1. Journalism, 2. Radio, TV and Digital Broadcasting Media, 3. Film and Creative Media Production (BA, 4 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=913","University of Nicosia","Communications","Bachelor","4 έτη","240",NA,"English","Arts"
"Applied Multimedia (BA, 4 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=869","University of Nicosia","Design and Multimedia","Bachelor","4 έτη","240",NA,"English","Arts"
"Digital Art and Design Concentrations: 1. Graphic Design, 2. Interactive Multimedia Design (MA, 1.5 Years or 3 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=912","University of Nicosia","Design and Multimedia","Master","1.5 έτος","90",NA,"English","Arts"
"Fine Art (BA, 4 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=948","University of Nicosia","Design and Multimedia","Bachelor","4 έτη","240",NA,"English","Arts"
"Graphic Communication (BA, 4 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=949","University of Nicosia","Design and Multimedia","Bachelor","4 έτη","240",NA,"English","Arts"
"Graphic Design","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1055","European University Cyprus","School of Humanities, Social and Education Sciences","Bachelor","4 χρόνια","240",NA,"English","Arts"
"Music","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1076","European University Cyprus","School of Humanities, Social and Education Sciences","Bachelor","4 χρόνια","240",NA,"English","Arts"
"Music Education","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1077","European University Cyprus","School of Humanities, Social and Education Sciences","Master","18 μήνες","90",NA,"English","Arts"
"Visual Arts in Education","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1115","European University Cyprus","School of Humanities, Social and Education Sciences","Master","18 μήνες","90",NA,"English","Arts"
"MSc BUSINESS INTELLIGENCE  DATA ANALYTICS","https://www.studycyprus.eu/en-gb/find/degree/?uInput=29","CIIM","Cyprus International Institute of Management","Master",NA,NA,NA,"English","Computer Science"
"Bachelor in Applied Informatics","https://www.studycyprus.eu/en-gb/find/degree/?uInput=2","Neapolis University","Department of Information Sciences","Bachelor",NA,NA,NA,"English","Computer Science"
"Masters in Information Systems","https://www.studycyprus.eu/en-gb/find/degree/?uInput=20","Neapolis University","Department of Information Sciences","Master",NA,NA,NA,"English","Computer Science"
"Information Systems","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1061","European University Cyprus","Distance Education Unit","Master","18 μήνες","90",NA,"English","Computer Science"
"Computer Engineering","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1320","University Of Cyprus","Department of Electrical and Computer Engineering","Bachelor","4 years","240",NA,"English","Computer Science"
"ΑΣΦΑΛΕΙΑ ΥΠΟΛΟΓΙΣΤΩΝ ΚΑΙ ΔΙΚΤΥΩΝ","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1472","Open University of Cyprus","Σχολή Θετικών και Εφαρμοσμένων Επιστημών","Master","1.5","90","5400","English","Computer Science"
"ΑΣΦΑΛΕΙΑ ΥΠΟΛΟΓΙΣΤΩΝ ΚΑΙ ΔΙΚΤΥΩΝ","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1473","Open University of Cyprus","Σχολή Θετικών και Εφαρμοσμένων Επιστημών","Doctorate","3","180","4050","English","Computer Science"
"ΕΦΑΡΜΟΣΜΕΝΗ ΠΛΗΡΟΦΟΡΙΚΗ ΤΗΣ ΥΓΕΙΑΣ ΚΑΙ ΤΗΛΕΪΑΤΡΙΚΗ","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1485","Open University of Cyprus","Σχολή Θετικών και Εφαρμοσμένων Επιστημών","Master","2","100","6000","English","Computer Science"
"ΚΟΙΝΩΝΙΚΑ ΠΛΗΡΟΦΟΡΙΑΚΑ ΣΥΣΤΗΜΑΤΑ","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1488","Open University of Cyprus","Σχολή Θετικών και Εφαρμοσμένων Επιστημών","Master","2","120","5400","English","Computer Science"
"Advanced Information Technologies (Professional Programme)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1286","University Of Cyprus","Department of Computer Science","Master","4 semesters","90",NA,"English","Computer Science"
"Computer Science","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1321","University Of Cyprus","Department of Computer Science","Bachelor","4 years","240",NA,"English","Computer Science"
"Computer Science","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1322","University Of Cyprus","Department of Computer Science","Master","3 semesters","90",NA,"English","Computer Science"
"Intelligent Systems","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1350","University Of Cyprus","Department of Computer Science","Master","3 semesters","90",NA,"English","Computer Science"
"Internet Computing","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1353","University Of Cyprus","Department of Computer Science","Master","3 semesters","90",NA,"English","Computer Science"
"Accounting (BSc, 4 Years) Distance Learning","https://www.studycyprus.eu/en-gb/find/degree/?uInput=868","University of Nicosia","Accounting","Bachelor","4 έτη","240",NA,"English","Computer Science"
"Management Information Systems (BSc, 4 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=968","University of Nicosia","Management and MIS","Bachelor","4 έτη","240",NA,"English","Computer Science"
"Bsc in Computer Egnineering","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1129","Frederick University","Department of Computer Engineering and Science","Bachelor","4 years","240",NA,"English","Computer Science"
"BSc in Computer Science","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1130","Frederick University","Department of Computer Engineering and Science","Bachelor","4 years","240",NA,"English","Computer Science"
"PhD in Computer Engineering","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1159","Frederick University","Department of Computer Engineering and Science","Doctorate","4 years","240",NA,"English","Computer Science"
"PhD in Computer Science","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1160","Frederick University","Frederick University","Doctorate","4 years","240",NA,"English","Computer Science"
"Applied Multimedia (BA, 4 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=869","University of Nicosia","Design and Multimedia","Bachelor","4 έτη","240",NA,"English","Computer Science"
"BSc (Hons) Web Design and Development","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1591","University of Central Lancashire Cyprus (UCLan Cyprus)","School of Sciences","Bachelor","4","240","8500","English","Computer Science"
"BSc (Hons) Computing","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1592","University of Central Lancashire Cyprus (UCLan Cyprus)","School of Sciences","Bachelor","4","240","8500","English","Computer Science"
"MSc Computing","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1598","University of Central Lancashire Cyprus (UCLan Cyprus)","School of Sciences","Master","1","90","8925","English","Computer Science"
"MSc Cybersecurity","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1599","University of Central Lancashire Cyprus (UCLan Cyprus)","School of Sciences","Master","1","90","8925","English","Computer Science"
"MSc Cybersecurity Distance Learning","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1600","University of Central Lancashire Cyprus (UCLan Cyprus)","School of Sciences","Master","1","90","7350","English","Computer Science"
"MSc Data Analytics","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1601","University of Central Lancashire Cyprus (UCLan Cyprus)","School of Sciences","Master","1","90","8925","English","Computer Science"
"Computer Science (BSc, 4 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=902","University of Nicosia","Computer Science","Bachelor","4 έτη","240",NA,"English","Computer Science"
"Computer Science Concentrations: 1. Cyber Security, 2. Mobile Systems (MSc, 1.5 Years or 3 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=903","University of Nicosia","Computer Science","Master","1.5 έτος ή 3 εξάμηνα","90",NA,"English","Computer Science"
"Computer Science Concentrations: 1. Cyber Security, 2. Mobile Systems, 3. Blockchain Technologies (MSc, 1.5 Years or 3 Semesters) Distance Learning","https://www.studycyprus.eu/en-gb/find/degree/?uInput=904","University of Nicosia","Computer Science","Master","1.5 έτος ή 3 Εξάμηνα","90",NA,"English","Computer Science"
"Computational Sciences","https://www.studycyprus.eu/en-gb/find/degree/?uInput=679","Cyprus Institute","The Cyprus Institute","Doctorate",NA,NA,NA,"English","Computer Science"
"Masters in Simulation and Data Sciences","https://www.studycyprus.eu/en-gb/find/degree/?uInput=682","Cyprus Institute","The Cyprus Institute","Master",NA,NA,NA,"English","Computer Science"
"Civil & Environmental Engineering","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1034","European University Cyprus","The School of Sciences","Bachelor","4 χρόνια","240",NA,"English","Computer Science"
"Computer Science","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1036","European University Cyprus","The School of Sciences","Bachelor","4 χρόνια","240",NA,"English","Computer Science"
"Computer Science","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1037","European University Cyprus","The School of Sciences","Master","18 μήνες","90",NA,"English","Computer Science"
"Computing/Computer Science","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1038","European University Cyprus","The School of Sciences","Doctorate",NA,"180",NA,"English","Computer Science"
"Cybersecurity","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1039","European University Cyprus","The School of Sciences","Master","18 μήνες","90",NA,"English","Computer Science"
"Information Systems","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1060","European University Cyprus","The School of Sciences","Master","18 μήνες","90",NA,"English","Computer Science"
"Microsoft® Information Systems/Web Technologies","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1074","European University Cyprus","The School of Sciences","Bachelor","4 χρόνια","240",NA,"English","Computer Science"
"Πτυχίο Επιστήμης και Τεχνολογίας Περιβάλλοντος","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1534","Cyprus University of Technology","Τμήμα Χημικών Μηχανικών","Bachelor",NA,"246",NA,"English","Earth and Environmental Science"
"Διδακτορικό Επιστήμης και Τεχνολογίας Περιβάλλοντος","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1535","Cyprus University of Technology","Τμήμα Χημικών Μηχανικών","Doctorate",NA,NA,NA,"English","Earth and Environmental Science"
"ΔΙΑΧΕΙΡΙΣΗ ΚΑΙ ΠΡΟΣΤΑΣΙΑ ΠΕΡΙΒΑΛΛΟΝΤΟΣ","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1474","Open University of Cyprus","Σχολή Θετικών και Εφαρμοσμένων Επιστημών","Master","2","100","5400","English","Earth and Environmental Science"
"ΔΙΑΧΕΙΡΙΣΗ ΚΑΙ ΠΡΟΣΤΑΣΙΑ ΠΕΡΙΒΑΛΛΟΝΤΟΣ","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1475","Open University of Cyprus","Σχολή Θετικών και Εφαρμοσμένων Επιστημών","Doctorate","3","180","4050","English","Earth and Environmental Science"
"Learning in Natural Sciences","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1358","University Of Cyprus","Department of Education","Master","2 years","120",NA,"English","Earth and Environmental Science"
"Energy, Oil and Gas Management (BSc, 4 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=939","University of Nicosia","Management and MIS","Bachelor","4 έτη","240",NA,"English","Earth and Environmental Science"
"PhD in Environmental Education","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1163","Frederick University","Frederick University","Doctorate","4 years","240",NA,"English","Earth and Environmental Science"
"Oil and Gas Engineering (BSc, 4 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=984","University of Nicosia","Engineering","Bachelor","4 έτη","240",NA,"English","Earth and Environmental Science"
"Oil, Gas and Energy Engineering (MSc, 1.5 Years or 3 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=985","University of Nicosia","Engineering","Master","1.5 έτος","90",NA,"English","Earth and Environmental Science"
"Oil, Gas and Energy Engineering (PhD, 3 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=986","University of Nicosia","Engineering","Doctorate","3 έτη","180",NA,"English","Earth and Environmental Science"
"Environmental and Energy Management (BSc, 4 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=943","University of Nicosia","Life and Health Sciences","Bachelor","4 έτη","240",NA,"English","Earth and Environmental Science"
"Energy, Environment   Atmospheric Sciences","https://www.studycyprus.eu/en-gb/find/degree/?uInput=680","Cyprus Institute","The Cyprus Institute","Doctorate",NA,NA,NA,"English","Earth and Environmental Science"
"Masters in Environmental Sciences","https://www.studycyprus.eu/en-gb/find/degree/?uInput=681","Cyprus Institute","The Cyprus Institute","Master",NA,NA,NA,"English","Earth and Environmental Science"
"ΔΙΟΙΚΗΣΗ ΕΠΙΧΕΙΡΗΣΕΩΝ (MBA)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1469","Open University of Cyprus","ΣΧΟΛΗ ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ ΚΑΙ ΔΙΟΙΚΗΣΗΣ","Master","2","120","5400","English","Economics and Business Administration"
"ΔΙΟΙΚΗΣΗ ΕΠΙΧΕΙΡΗΣΕΩΝ","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1478","Open University of Cyprus","ΣΧΟΛΗ ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ ΚΑΙ ΔΙΟΙΚΗΣΗΣ","Bachelor","4","240","8400","English","Economics and Business Administration"
"ΔΙΟΙΚΗΣΗ ΜΟΝΑΔΩΝ ΥΓΕΙΑΣ","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1479","Open University of Cyprus","ΣΧΟΛΗ ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ ΚΑΙ ΔΙΟΙΚΗΣΗΣ","Master","2","120","5400","English","Economics and Business Administration"
"ΔΙΟΙΚΗΣΗ ΜΟΝΑΔΩΝ ΥΓΕΙΑΣ","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1480","Open University of Cyprus","ΣΧΟΛΗ ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ ΚΑΙ ΔΙΟΙΚΗΣΗΣ","Doctorate","3","180","4050","English","Economics and Business Administration"
"ΔΙΟΙΚΗΣΗ, ΤΕΧΝΟΛΟΓΙΑ ΚΑΙ ΠΟΙΟΤΗΤΑ","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1481","Open University of Cyprus","ΣΧΟΛΗ ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ ΚΑΙ ΔΙΟΙΚΗΣΗΣ","Master","1.5","90","5400","English","Economics and Business Administration"
"ΕΠΙΚΟΙΝΩΝΙΑ ΚΑΙ NEA ΔΗΜΟΣΙΟΓΡΑΦΙA","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1482","Open University of Cyprus","ΣΧΟΛΗ ΑΝΘΡΩΠΙΣΤΙΚΩΝ & ΚΟΙΝΩΝΙΚΩΝ ΕΠΙΣΤΗΜΩΝ","Master","2","120","5400","English","Economics and Business Administration"
"ΟΙΚΟΝΟΜΙΚΑ","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1489","Open University of Cyprus","ΣΧΟΛΗ ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ ΚΑΙ ΔΙΟΙΚΗΣΗΣ","Bachelor","4","240","8400","English","Economics and Business Administration"
"ΤΡΑΠΕΖΙΚΗ ΚΑΙ ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗ","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1498","Open University of Cyprus","ΣΧΟΛΗ ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ ΚΑΙ ΔΙΟΙΚΗΣΗΣ","Master","2","120","5400","English","Economics and Business Administration"
"B.Sc. in Banking","https://www.studycyprus.eu/en-gb/find/degree/?uInput=684","Cyprus Institute of Marketing","Business School","Bachelor",NA,NA,NA,"English","Economics and Business Administration"
"B.Sc. in Business Administration","https://www.studycyprus.eu/en-gb/find/degree/?uInput=685","Cyprus Institute of Marketing","Business School","Bachelor",NA,NA,NA,"English","Economics and Business Administration"
"B.Sc. in European Studies","https://www.studycyprus.eu/en-gb/find/degree/?uInput=686","Cyprus Institute of Marketing","Business School","Bachelor",NA,NA,NA,"English","Economics and Business Administration"
"B.Sc. in Financial   Computer Studies","https://www.studycyprus.eu/en-gb/find/degree/?uInput=687","Cyprus Institute of Marketing","Business School","Bachelor",NA,NA,NA,"English","Economics and Business Administration"
"B.Sc. in Insurance","https://www.studycyprus.eu/en-gb/find/degree/?uInput=688","Cyprus Institute of Marketing","Business School","Bachelor",NA,NA,NA,"English","Economics and Business Administration"
"B.Sc. in Shipping","https://www.studycyprus.eu/en-gb/find/degree/?uInput=689","Cyprus Institute of Marketing","Business School","Bachelor",NA,NA,NA,"English","Economics and Business Administration"
"B.Sc. in Tourism Management","https://www.studycyprus.eu/en-gb/find/degree/?uInput=690","Cyprus Institute of Marketing","Business School","Bachelor",NA,NA,NA,"English","Economics and Business Administration"
"BA in Business Studies with Marketing","https://www.studycyprus.eu/en-gb/find/degree/?uInput=691","Cyprus Institute of Marketing","Business School","Bachelor",NA,NA,NA,"English","Economics and Business Administration"
"BA in Shipping Management","https://www.studycyprus.eu/en-gb/find/degree/?uInput=692","Cyprus Institute of Marketing","Business School","Bachelor",NA,NA,NA,"English","Economics and Business Administration"
"M.Sc. in Human Resource Management   Corporate Strategy","https://www.studycyprus.eu/en-gb/find/degree/?uInput=694","Cyprus Institute of Marketing","Business School","Master",NA,NA,NA,"English","Economics and Business Administration"
"Master of Business Administration - MBA","https://www.studycyprus.eu/en-gb/find/degree/?uInput=695","Cyprus Institute of Marketing","Business School","Master",NA,NA,NA,"English","Economics and Business Administration"
"Master of Business Administration with Shipping","https://www.studycyprus.eu/en-gb/find/degree/?uInput=696","Cyprus Institute of Marketing","Business School","Master",NA,NA,NA,"English","Economics and Business Administration"
"UWL - BA(Hons) Business Studies with Marketing","https://www.studycyprus.eu/en-gb/find/degree/?uInput=697","Cyprus Institute of Marketing","Business School","Bachelor",NA,NA,NA,"English","Economics and Business Administration"
"UWL - BA(Hons) in Accounting   Finance","https://www.studycyprus.eu/en-gb/find/degree/?uInput=698","Cyprus Institute of Marketing","Business School","Bachelor",NA,NA,NA,"English","Economics and Business Administration"
"UWL M.Sc. in Digital Marketing","https://www.studycyprus.eu/en-gb/find/degree/?uInput=699","Cyprus Institute of Marketing","Business School","Master",NA,NA,NA,"English","Economics and Business Administration"
"BACHELOR IN BUSINESS ADMINISTRATION","https://www.studycyprus.eu/en-gb/find/degree/?uInput=26","CIIM","Cyprus International Institute of Management","Bachelor",NA,NA,NA,"English","Economics and Business Administration"
"MASTER OF BUSINESS ADMINISTRATION","https://www.studycyprus.eu/en-gb/find/degree/?uInput=27","CIIM","Cyprus International Institute of Management","Master",NA,NA,NA,"English","Economics and Business Administration"
"MASTER OF PUBLIC SECTOR MANAGEMENT","https://www.studycyprus.eu/en-gb/find/degree/?uInput=28","CIIM","Cyprus International Institute of Management","Master",NA,NA,NA,"English","Economics and Business Administration"
"MSc BUSINESS MANAGEMENT","https://www.studycyprus.eu/en-gb/find/degree/?uInput=30","CIIM","Cyprus International Institute of Management","Master",NA,NA,NA,"English","Economics and Business Administration"
"MSc FINANCIAL SERVICES","https://www.studycyprus.eu/en-gb/find/degree/?uInput=31","CIIM","Cyprus International Institute of Management","Master",NA,NA,NA,"English","Economics and Business Administration"
"MSc HUMAN RESOURCE MANAGEMENT  ORGANISATIONAL BEHAVIOR","https://www.studycyprus.eu/en-gb/find/degree/?uInput=32","CIIM","Cyprus International Institute of Management","Master",NA,NA,NA,"English","Economics and Business Administration"
"MSc ΕΚΠΑΙΔΕΥΣΗ, ΗΓΕΣΙΑ  ΔΙΟΙΚΗΣΗ (ΕΗΔ)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=33","CIIM","Cyprus International Institute of Management","Master",NA,NA,NA,"English","Economics and Business Administration"
