"Area","Programme","Level","Mode","University","University_URL","Programme_URL","Contact","Language"
"Social sciences","Art and design","Bachelor Programme","full-time programme","University of Lower Silesia","http://www.uls.edu.pl/","https://study.gov.pl/university-lower-silesia","mailto:admission@dsw.edu.pl","English"
"Arts","Art and design","Bachelor Programme","full-time programme","University of Arts In Poznan","https://go-poland.pl/university/university-arts-poznan","https://study.gov.pl/university-arts-poznan-2","mailto:international@uap.edu.pl","English"
"Arts","Art and design","Master's Programme","full-time programme","Polish-Japanese Academy of Information Technology","https://study.gov.pl/university/polish-japanese-academy-information-technology","https://study.gov.pl/polish-japanese-academy-information-technology-2","mailto:admission@pja.edu.pl","English"
"Arts","Art and design","Master's Programme","full-time programme","University of Arts In Poznan","https://go-poland.pl/university/university-arts-poznan","https://study.gov.pl/university-arts-poznan-3","mailto:international@uap.edu.pl","English"
"Arts","Art and design","Bachelor Programme","full-time programme","SWPS University","https://go-poland.pl/university/swps-university-social-sciences-and-humanities","https://study.gov.pl/swps-university","mailto:admissions@swps.edu.pl","English"
"Arts","Art and design","Master's Programme","full-time programme","Lodz University of Technology","https://p.lodz.pl/","https://study.gov.pl/lodz-university-technology-11","mailto:foreignstudents@info.p.lodz.pl","English"
"Arts","Art and design","Bachelor Programme","full-time programme","Polish-Japanese Academy of Information Technology","https://study.gov.pl/university/polish-japanese-academy-information-technology","https://study.gov.pl/polish-japanese-academy-information-technology","mailto:admission@pja.edu.pl","English"
"Arts","Art and design","Master's Programme","full-time programme","The Eugeniusz Geppert Academy of Art and Design in Wrocław","https://www.asp.wroc.pl/en","https://study.gov.pl/eugeniusz-geppert-academy-art-and-design-wroc-aw","mailto:studyinenglish@asp.wroc.pl","English"
"Arts","Arts","Bachelor Programme","full-time programme","Cinematography & Post-production","http://www.warsawfilmschool.com/palio/WSF/en/courses/cinematography---post--production/","https://study.gov.pl/warsaw-film-school-0","mailto:international@warsawfilmschool.com","English"
"Arts","Arts","Bachelor Programme","full-time programme","Jan Dlugosz University in Czestochowa","https://go-poland.pl/university/jan-dlugosz-university-czestochowa","https://study.gov.pl/jan-dlugosz-university-czestochowa-23","mailto:ws@ujd.edu.pl","English"
"Arts","Arts","Bachelor Programme","full-time programme","Jan Kochanowski University of Kielce","https://go-poland.pl/university/jan-kochanowski-university-kielce","https://study.gov.pl/jan-kochanowski-university-kielce-0","mailto:rekrutacjaws@ujk.edu.pl","English"
"Arts","Arts","Master's Programme","full-time programme","Jan Dlugosz University in Czestochowa","https://go-poland.pl/university/jan-dlugosz-university-czestochowa","https://study.gov.pl/jan-dlugosz-university-czestochowa-24","mailto:ws@ujd.edu.pl","English"
"Arts","Arts","Bachelor Programme","full-time programme","University of Arts in Poznan","https://go-poland.pl/university/university-arts-poznan","https://study.gov.pl/university-arts-poznan-0","mailto:international@uap.edu.pl","English"
"Arts","Arts","Master's Programme","full-time programme","Jan Kochanowski University of Kielce","https://go-poland.pl/university/jan-kochanowski-university-kielce","https://study.gov.pl/jan-kochanowski-university-kielce-2","mailto:rekrutacjaws@ujk.edu.pl","English"
"Arts","Arts","Master's Programme","full-time programme","University of Arts In Poznan","https://go-poland.pl/university/university-arts-poznan","https://study.gov.pl/university-arts-poznan-1","mailto:international@uap.edu.pl","English"
"Arts","Arts","Bachelor Programme","full-time programme","Film Directing & Video Games","http://www.warsawfilmschool.com/palio/WSF/en/courses/ba-film-directing---video-games/","https://study.gov.pl/warsaw-film-school","mailto:international@warsawfilmschool.com","English"
"Technological sciences","Astronomy","Master's Programme","full-time programme","AGH University of Krakow","https://www.agh.edu.pl/","https://study.gov.pl/agh-university-science-and-technology-16","mailto:international.students@agh.edu.pl","English"
"Science","Astronomy","Bachelor Programme","full-time programme","University of Zielona Gora","https://go-poland.pl/university/university-zielona-gora","https://study.gov.pl/university-zielona-gora","mailto:M.Przybylska@if.uz.zgora.pl","English"
"Technological sciences","Automatic control and robotics","Master's Programme","full-time programme","Wrocław University of Science and Technology","https://go-poland.pl/university/wroclaw-university-technology","https://study.gov.pl/wroc-aw-university-technology-4","mailto:admission@pwr.edu.pl","English"
"Technological sciences","Automatic control and robotics","Master's Programme","full-time programme","Warsaw University of Technology","https://go-poland.pl/university/warsaw-university-technology","https://study.gov.pl/warsaw-university-technology-18","mailto:students.cwm@pw.edu.pl","English"
"Technological sciences","Automatic control and robotics","Master's Programme","full-time programme","Poznan University of Technology","https://go-poland.pl/university/poznan-university-technology","https://study.gov.pl/poznan-university-technology-5","mailto:study@put.poznan.pl","English"
"Technological sciences","Automatic control and robotics","Bachelor Programme","full-time programme","Poznan University of Technology","https://go-poland.pl/university/poznan-university-technology","https://study.gov.pl/poznan-university-technology-0","mailto:study@put.poznan.pl","English"
"Science","Automation and Robotics","Master's Programme","full-time programme","Silesian Univeristy of Technology","https://go-poland.pl/university/silesian-university-technology","https://study.gov.pl/silesian-university-technology-9","mailto:study@polsl.pl","English"
"Technological sciences","Automation, Cybernetics and Robotics","Master's Programme","full-time programme","Gdańsk University of Technology","http://www.pg.edu.pl","https://study.gov.pl/gdansk-university-technology-1","mailto:study@pg.edu.pl","English"
"Social sciences","Aviation management","Bachelor Programme","full-time programme","Lazarski University","https://www.lazarski.pl/en/","https://study.gov.pl/lazarski-university-4","mailto:recruitment@lazarski.edu.pl","English"
"Social sciences","Aviation management","Bachelor Programme","full-time programme","University of Information Technology and Management","https://go-poland.pl/university/university-information-technology-and-management","https://study.gov.pl/university-information-technology-and-management-3","mailto:io@wsiz.rzeszow.pl","English"
"Humanities","Balkan studies","Bachelor Programme","full-time programme","Adam Mickiewicz University, Poznan","https://amu.edu.pl/en","https://study.gov.pl/adam-mickiewicz-university-poznan-4","mailto:dymczyk@amu.edu.pl","English"
"Humanities","Baltic Sea region studies","Bachelor Programme","full-time programme","University of Szczecin","http://www.usz.edu.pl","https://study.gov.pl/university-szczecin","mailto:admissions@usz.edu.pl","English"
"Biological sciences","Biological Sciences","Master's Programme","full-time programme","Nicolaus Copernicus University","https://go-poland.pl/university/nicolaus-copernicus-university","https://study.gov.pl/nicolaus-copernicus-university-3","mailto:studywithncu@umk.pl","English"
"Humanities","Biological Sciences","Bachelor Programme","full-time programme","University of Szczecin","http://www.usz.edu.pl","https://study.gov.pl/university-szczecin-6","mailto:admissions@usz.edu.pl","English"
"Science","Biology","Master's Programme","full-time programme","University of Wroclaw","https://uwr.edu.pl/en","https://study.gov.pl/university-wroclaw-26","mailto:study.biosciences@uwr.edu.pl","English"
"Biological sciences","Biology","Doctoral studies","full-time programme","University of Warsaw","https://go-poland.pl/university/university-warsaw","https://study.gov.pl/university-warsaw-26","mailto:dziekanat@biol.uw.edu.pl","English"
"Biological sciences","Biology","Doctoral studies","full-time programme","Wroclaw University of Environmental and Life Sciences","https://go-poland.pl/university/wroclaw-university-environmental-and-life-sciences","https://study.gov.pl/wroclaw-university-environmental-and-life-sciences-4","mailto:szkola.doktorska@upwr.edu.pl","English"
"Biological sciences","Biology","Master's Programme","full-time programme","Maria Curie-Skłodowska University","https://www.umcs.pl/en/applicant.htm","https://study.gov.pl/maria-curie-sklodowska-university-10","mailto:studyinenglish@mail.umcs.pl","English"
"Biological sciences","Biology","Bachelor Programme","full-time programme","University of Warmia and Mazury in Olsztyn","https://go-poland.pl/university/university-warmia-and-mazury-olsztyn","https://study.gov.pl/university-warmia-and-mazury-olsztyn-4","mailto:aswiat@uwm.edu.pl","English"
"Technological sciences","Biomedical engineering","Master's Programme","full-time programme","Poznan University of Technology","https://go-poland.pl/university/poznan-university-technology","https://study.gov.pl/poznan-university-technology-23","mailto:study@put.poznan.pl","English"
"Technological sciences","Biomedical engineering","Bachelor Programme","full-time programme","Lodz University of Technology","https://p.lodz.pl/en","https://study.gov.pl/lodz-university-technology-5","mailto:foreignstudents@info.p.lodz.pl","English"
"Technological sciences","Biomedical engineering","Bachelor Programme","full-time programme","Poznan University of Technology","https://go-poland.pl/university/poznan-university-technology","https://study.gov.pl/poznan-university-technology-25","mailto:study@put.poznan.pl","English"
"Science","Biomedical engineering","Bachelor Programme","full-time programme","Silesian University of Technology","https://go-poland.pl/university/silesian-university-technology","https://study.gov.pl/silesian-university-technology-11","mailto:study@polsl.pl","English"
"Technological sciences","Biomedical engineering","Master's Programme","full-time programme","Jan Dlugosz University in Czestochowa","https://go-poland.pl/university/jan-dlugosz-university-czestochowa","https://study.gov.pl/jan-dlugosz-university-czestochowa","mailto:inzynierprzyszlosci@ujd.edu.pl","English"
"Technological sciences","Biotechnology","Master's Programme","full-time programme","Lodz University of Technology","https://p.lodz.pl/en","https://study.gov.pl/lodz-university-technology-1","mailto:foreignstudents@info.p.lodz.pl","English"
"Agricultural, forestry and veterinary sciences","Biotechnology","Master's Programme","full-time programme","Poznań University of Life Sciences","https://go-poland.pl/university/poznan-university-life-sciences","https://study.gov.pl/poznan-university-life-sciences-4","mailto:mscinfo@up.poznan.pl","English"
"Medical, health and sport sciences","Biotechnology","Bachelor Programme","full-time programme","Medical University of Silesia","https://study.gov.pl/../university/medical-university-silesia","https://study.gov.pl/medical-university-silesia-5","mailto:ibednarek@sum.edu.pl","English"
"Science","Biotechnology","Bachelor Programme","full-time programme","Silesian University of Technology","https://go-poland.pl/university/silesian-university-technology","https://study.gov.pl/silesian-university-technology-16","mailto:study@polsl.pl","English"
"Technological sciences","Biotechnology","Master's Programme","full-time programme","University of Warmia and Mazury in Olsztyn","http://www.uwm.edu.pl/en","https://study.gov.pl/university-warmia-and-mazury-olsztyn-14","mailto:magdalena.zielinska@uwm.edu.pl","English"
"Technological sciences","Biotechnology","Bachelor Programme","full-time programme","Lodz University of Technology","https://p.lodz.pl/en","https://study.gov.pl/lodz-university-technology-0","mailto:foreignstudents@info.p.lodz.pl","English"
"Biological sciences","Biotechnology","Master's Programme","full-time programme","The John Paul II Catholic University of Lublin","https://study.gov.pl/pl/node/1672","https://study.gov.pl/john-paul-ii-catholic-university-lublin-5","mailto:study@kul.pl","English"
"Biological sciences","Biotechnology","Master's Programme","full-time programme","University of Silesia in Katowice","https://go-poland.pl/university/university-silesia-katowice","https://study.gov.pl/university-silesia-katowice-7","mailto:admission@us.edu.pl","English"
"Science","Biotechnology","Master's Programme","full-time programme","Adam Mickiewicz University, Poznan","https://amu.edu.pl/en","https://study.gov.pl/adam-mickiewicz-university-poznan-13","mailto:ewa.jazdzinska@amu.edu.pl","English"
"Biological sciences","Biotechnology","Bachelor Programme","full-time programme","Lodz University of Technology","http://p.lodz.pl/en","https://study.gov.pl/lodz-university-technology-13","mailto:foreignstudents@info.p.lodz.pl","English"
"Technological sciences","Biotechnology","Master's Programme","full-time programme","Warsaw University of Technology","https://go-poland.pl/university/warsaw-university-technology","https://study.gov.pl/warsaw-university-technology-1","mailto:students.cwm@pw.edu.pl","English"
"Biological sciences","Biotechnology","Bachelor Programme","full-time programme","The John Paul II Catholic University of Lublin","https://study.gov.pl/pl/node/1672","https://study.gov.pl/john-paul-ii-catholic-university-lublin-2","mailto:study@kul.pl","English"
"Agricultural, forestry and veterinary sciences","Biotechnology","Master's Programme","full-time programme","University of Agriculture in Krakow","https://go-poland.pl/university/university-agriculture-krakow","https://study.gov.pl/university-agriculture-krakow-4","mailto:joanna.augustynowicz@urk.edu.pl","English"
"Technological sciences","Biotechnology","Master's Programme","full-time programme","Lodz University of Technology","https://p.lodz.pl/en","https://study.gov.pl/lodz-university-technology-1","mailto:foreignstudents@info.p.lodz.pl","English"
"Biological sciences","Biotechnology","Bachelor Programme","full-time programme","University of Wroclaw","https://uwr.edu.pl/en/","https://study.gov.pl/university-wroclaw-21","mailto:study.biotech@uwr.edu.pl","English"
"Biological sciences","Biotechnology","Master's Programme","full-time programme","University of Wroclaw","https://uwr.edu.pl/en/","https://study.gov.pl/university-wroclaw-7","mailto:study.biotech@uwr.edu.pl","English"
"Agricultural, forestry and veterinary sciences","Biotechnology","Master's Programme","full-time programme","Environmental and Plant Biotechnology","https://wbio.urk.edu.pl/","https://study.gov.pl/environmental-and-plant-biotechnology","mailto:admissions@urk.edu.pl","English"
"Medical, health and sport sciences","Biotechnology","Bachelor Programme","full-time programme","Medical University of Silesia","https://study.gov.pl/../university/medical-university-silesia","https://study.gov.pl/medical-university-silesia-5","mailto:ibednarek@sum.edu.pl","English"
"Social sciences","Business administration","Non-degree programme","part-time programme","Warsaw School of Economics (SGH)","https://go-poland.pl/university/warsaw-school-economics-sgh","https://study.gov.pl/warsaw-school-economics-sgh-5","mailto:cemba@sgh.waw.pl","English"
"Social sciences","Business administration","Master's Programme","part-time programme","Wroclaw University of Economics and Business","http://www.uew.pl/en/","https://study.gov.pl/wroc-aw-university-economics-6","mailto:mba@ue.wroc.pl","English"
"Science","Business administration","Non-degree programme","full-time programme","The University of Dąbrowa Górnicza","http://www.wsb.edu.pl/index.php?idg=en","https://study.gov.pl/academy-business-d-browa-g-rnicza-2","mailto:info@wsb.edu.pl","English"
"Social sciences","Business administration","Master's Programme","part-time programme","University of Social Sciences","https://go-poland.pl/university/university-social-sciences","https://study.gov.pl/university-social-sciences-0","mailto:info@clarkuni.eu","English"
"Social sciences","Business administration","Bachelor Programme","full-time programme","University of Wroclaw","https://uwr.edu.pl/en/","https://study.gov.pl/university-wroclaw-0","mailto:study.law-economics@uwr.edu.pl","English"
"Humanities","Business and Finance Management","Bachelor Programme","full-time programme","Uniwersytet WSB Merito Chorzów","https://study.gov.pl/university/wsb-merito-chorzow","https://study.gov.pl/uniwersytet-wsb-merito-chorzow-1","mailto:study@chorzow.merito.pl","English"
"Social sciences","Business and Finance Management","Master's Programme","full-time programme","Jagiellonian University in Kraków","https://go-poland.pl/university/jagiellonian-university-krakow","https://study.gov.pl/jagiellonian-university-krakow-1","mailto:bfm@uj.edu.pl","English"
"Social sciences","Business informatics","Bachelor Programme","full-time programme","Maria Curie-Skłodowska University","https://www.umcs.pl/en/applicant.htm","https://study.gov.pl/maria-curie-sklodowska-university-1","mailto:studyinenglish@mail.umcs.pl","English"
"Social sciences","Business informatics","Master's Programme","full-time programme","University of Economics in Katowice","https://www.ue.katowice.pl/en.html","https://study.gov.pl/e-commerce-masters-degree-program","mailto:admissions@ue.katowice.pl","English"
"Technological sciences","Business information science","Bachelor Programme","full-time programme","Lodz University of Technology","https://p.lodz.pl/en","https://study.gov.pl/lodz-university-technology-12","mailto:foreignstudents@info.p.lodz.pl","English"
"Humanities","Business management","Bachelor Programme","full-time programme","Uniwersytet WSB Merito Warszawa","https://study.gov.pl/university/uniwersytet-wsb-merito-warszawa","https://study.gov.pl/uniwersytet-wsb-merito-warszawa-13","mailto:study@warszawa.merito.pl","English"
"Humanities","Business management","Bachelor Programme","full-time programme","Collegium Civitas","https://study.gov.pl/university/collegium-civitas","https://study.gov.pl/collegium-civitas-3","mailto:admissions@civitas.edu.pl","English"
"Social sciences","Business management","Bachelor Programme","full-time programme","Wroclaw University of Economics and Business","http://www.uew.pl/en/","https://study.gov.pl/wroclaw-university-economics-and-business","mailto:enrolment@ue.wroc.pl","English"
"Science","Business management","Bachelor Programme","full-time programme","WSG University","https://study.gov.pl/university/wsg-university","https://study.gov.pl/wsg-university-0","mailto:interrecruitment@byd.pl","English"
"Social sciences","Business management","Master's Programme","full-time programme","University of Lodz","https://go-poland.pl/university/university-lodz","https://study.gov.pl/university-lodz-10","mailto: admission@uni.lodz.pl","English"
"Social sciences","Business management","Bachelor Programme","full-time programme","University of Szczecin","http://www.usz.edu.pl","https://study.gov.pl/university-szczecin-0","mailto:admissions@usz.edu.pl","English"
"Social sciences","Business management","Bachelor Programme","full-time programme","University of Lodz","https://go-poland.pl/university/university-lodz","https://study.gov.pl/university-lodz","mailto:admission@uni.lodz.pl","English"
"Humanities","Business management","Bachelor Programme","full-time programme","Uniwersytet WSB Merito Warszawa","https://study.gov.pl/university/uniwersytet-wsb-merito-warszawa","https://study.gov.pl/uniwersytet-wsb-merito-warszawa-13","mailto:study@warszawa.merito.pl","English"
"Humanities","Business management","Bachelor Programme","full-time programme","Collegium Civitas","https://study.gov.pl/university/collegium-civitas","https://study.gov.pl/collegium-civitas-3","mailto:admissions@civitas.edu.pl","English"
"Social sciences","Business management","Bachelor Programme","full-time programme","Wroclaw University of Economics and Business","http://www.uew.pl/en/","https://study.gov.pl/wroclaw-university-economics-and-business","mailto:enrolment@ue.wroc.pl","English"
"Science","Business management","Bachelor Programme","full-time programme","WSG University","https://study.gov.pl/university/wsg-university","https://study.gov.pl/wsg-university-0","mailto:interrecruitment@byd.pl","English"
"Social sciences","Business management","Master's Programme","full-time programme","University of Lodz","https://go-poland.pl/university/university-lodz","https://study.gov.pl/university-lodz-10","mailto: admission@uni.lodz.pl","English"
"Social sciences","Business management","Bachelor Programme","full-time programme","University of Szczecin","http://www.usz.edu.pl","https://study.gov.pl/university-szczecin-0","mailto:admissions@usz.edu.pl","English"
