"Programme","Programme_URL","Institution","ECTS","Language","Degree_Level"
"Bachelor of International Graphic and Digital Media","https://www.studyinflanders.behttps://www.arteveldehogeschool.be/en/programmes/bachelor/international-graphic-and-digital-media","Artevelde University of Applied Sciences","180 ECTS","English","Professional Bachelor"
"Bachelor of International Journalism","https://www.studyinflanders.behttps://www.arteveldehogeschool.be/en/programmes/bachelor/international-journalism","Artevelde University of Applied Sciences","180 ECTS","English","Professional Bachelor"
"Bachelor of International Journalism","https://www.studyinflanders.behttps://thomasmore.be/en/educations/degree-students/international-journalism/international-journalism/mechelen/full-programme","Thomas More University of Applied Sciences","180 ECTS","English","Professional Bachelor"
"Bachelor of International Media and Entertainment Business","https://www.studyinflanders.behttps://thomasmore.be/en/educations/degree-students/international-media-and-entertainment-business/international-media-and-entertainment-business/mechelen/full-programme","Thomas More University of Applied Sciences","180 ECTS","English","Professional Bachelor"
"Bachelor of International Media and Entertainment Business (short programme)","https://www.studyinflanders.behttps://thomasmore.be/en/educations/degree-students/international-media-and-entertainment-business/international-media-and-entertainment-business/mechelen/short-programme#tab-detail","Thomas More University of Applied Sciences","60 ECTS","English","Professional Bachelor"
"Bachelor of International Organisation and Management","https://www.studyinflanders.behttps://www.arteveldehogeschool.be/en/programmes/bachelor/international-organisation-and-management","Artevelde University of Applied Sciences","180 ECTS","English","Professional Bachelor"
"Bachelor of International Tourism and Leisure","https://www.studyinflanders.behttps://thomasmore.be/en/educations/degree-students/international-tourism-and-leisure/international-tourism-and-leisure/mechelen/full-programme","Thomas More University of Applied Sciences","180 ECTS","English","Professional Bachelor"
"Bachelor of International Tourism and Leisure (short programme)","https://www.studyinflanders.behttps://thomasmore.be/en/educations/degree-students/international-tourism-and-leisure/international-tourism-and-leisure/mechelen/short-programme#tab-detail","Thomas More University of Applied Sciences","60 ECTS","English","Professional Bachelor"
"Bachelor of Multimedia and Creative Technologies","https://www.studyinflanders.behttps://www.kdg.be/en/bachelor-multimedia-creative-technologies","KdG University of Applied Sciences and Arts","180 ECTS","English","Professional Bachelor"
"Bachelor of Nursing","https://www.studyinflanders.behttps://www.kdg.be/en/nursing","KdG University of Applied Sciences and Arts","240 ECTS","English","Professional Bachelor"
"Bachelor of Social-Economic Sciences","https://www.studyinflanders.behttps://www.uantwerpen.be/en/study/programmes/all-programmes/social-economic-sciences/","University of Antwerp","180 ECTS","English","Professional Bachelor"
"Joint International Bachelor in Film (Pathfinder)","https://www.studyinflanders.behttps://www.luca-arts.be/en/joint-international-bachelor-pathfinder","LUCA School of Arts","180 ECTS","English","Professional Bachelor"
"Bachelor en Mécanique Naval","https://www.studyinflanders.behttps://www.amacademy.be/fr/education/mecanique-navale","Antwerp Maritime Academy","180 ECTS","French","Academic Bachelor"
"Bachelor en Sciences Nautiques","https://www.studyinflanders.behttps://www.amacademy.be/fr/education/sciences-nautiques","Antwerp Maritime Academy","180 ECTS","French","Academic Bachelor"
"Bachelor of Arts in European Studies (UNA Europa)","https://www.studyinflanders.behttps://www.kuleuven.be/programmes/bachelor-european-studies?utm_source=vluhr","KU Leuven","180 ECTS","English","Academic Bachelor"
"Bachelor of Arts in Linguistics and Literary Studies (Dutch-English)","https://www.studyinflanders.behttps://www.vub.be/en/studying-vub/all-study-programmes-vub/bachelors-and-masters-programmes-vub/linguistics-and-literary-studies","Vrije Universiteit Brussel","180 ECTS","English","Academic Bachelor"
"Bachelor of Arts in Linguistics and Literary Studies (Dutch-French)","https://www.studyinflanders.behttps://www.vub.be/en/studying-vub/all-study-programmes-vub/bachelors-and-masters-programmes-vub/linguistics-and-literary-studies","Vrije Universiteit Brussel","180 ECTS","English","Academic Bachelor"
"Bachelor of Arts in Linguistics and Literary Studies (Dutch-German)","https://www.studyinflanders.behttps://www.vub.be/en/studying-vub/all-study-programmes-vub/bachelors-and-masters-programmes-vub/linguistics-and-literary-studies","Vrije Universiteit Brussel","180 ECTS","English","Academic Bachelor"
"Bachelor of Arts in Linguistics and Literary Studies (Dutch-Italian)","https://www.studyinflanders.behttps://www.vub.be/en/studying-vub/all-study-programmes-vub/bachelors-and-masters-programmes-vub/linguistics-and-literary-studies","Vrije Universiteit Brussel","180 ECTS","English","Academic Bachelor"
"Bachelor of Arts in Linguistics and Literary Studies (Dutch-Spanish)","https://www.studyinflanders.behttps://www.vub.be/en/studying-vub/all-study-programmes-vub/bachelors-and-masters-programmes-vub/linguistics-and-literary-studies","Vrije Universiteit Brussel","180 ECTS","English","Academic Bachelor"
"Bachelor of Arts in Linguistics and Literary Studies (English-French)","https://www.studyinflanders.behttps://www.vub.be/en/studying-vub/all-study-programmes-vub/bachelors-and-masters-programmes-vub/linguistics-and-literary-studies","Vrije Universiteit Brussel","180 ECTS","English","Academic Bachelor"
"Bachelor of Arts in Linguistics and Literary Studies (English-German)","https://www.studyinflanders.behttps://www.vub.be/en/studying-vub/all-study-programmes-vub/bachelors-and-masters-programmes-vub/linguistics-and-literary-studies","Vrije Universiteit Brussel","180 ECTS","English","Academic Bachelor"
"Bachelor of Arts in Linguistics and Literary Studies (English-Italian)","https://www.studyinflanders.behttps://www.vub.be/en/studying-vub/all-study-programmes-vub/bachelors-and-masters-programmes-vub/linguistics-and-literary-studies","Vrije Universiteit Brussel","180 ECTS","English","Academic Bachelor"
"Bachelor of Arts in Linguistics and Literary Studies (English-Spanish)","https://www.studyinflanders.behttps://www.vub.be/en/studying-vub/all-study-programmes-vub/bachelors-and-masters-programmes-vub/linguistics-and-literary-studies","Vrije Universiteit Brussel","180 ECTS","English","Academic Bachelor"
"Bachelor of Arts in Linguistics and Literary Studies (French-Italian)","https://www.studyinflanders.behttps://www.vub.be/en/studying-vub/all-study-programmes-vub/bachelors-and-masters-programmes-vub/linguistics-and-literary-studies","Vrije Universiteit Brussel","180 ECTS","English","Academic Bachelor"
"Bachelor of Arts in Linguistics and Literary Studies (French-Spanish)","https://www.studyinflanders.behttps://www.vub.be/en/studying-vub/all-study-programmes-vub/bachelors-and-masters-programmes-vub/linguistics-and-literary-studies","Vrije Universiteit Brussel","180 ECTS","English","Academic Bachelor"
"Bachelor of Arts in Linguistics and Literary Studies (German-French)","https://www.studyinflanders.behttps://www.vub.be/en/studying-vub/all-study-programmes-vub/bachelors-and-masters-programmes-vub/linguistics-and-literary-studies","Vrije Universiteit Brussel","180 ECTS","English","Academic Bachelor"
"Bachelor of Arts in Linguistics and Literary Studies (German-Italian)","https://www.studyinflanders.behttps://www.vub.be/en/studying-vub/all-study-programmes-vub/bachelors-and-masters-programmes-vub/linguistics-and-literary-studies","Vrije Universiteit Brussel","180 ECTS","English","Academic Bachelor"
"Bachelor of Arts in Linguistics and Literary Studies (German-Spanish)","https://www.studyinflanders.behttps://www.vub.be/en/studying-vub/all-study-programmes-vub/bachelors-and-masters-programmes-vub/linguistics-and-literary-studies","Vrije Universiteit Brussel","180 ECTS","English","Academic Bachelor"
"Bachelor of Arts in Linguistics and Literary Studies (Italian-Spanish)","https://www.studyinflanders.behttps://www.vub.be/en/studying-vub/all-study-programmes-vub/bachelors-and-masters-programmes-vub/linguistics-and-literary-studies","Vrije Universiteit Brussel","180 ECTS","English","Academic Bachelor"
"Bachelor of Arts in Music","https://www.studyinflanders.behttps://www.ap-arts.be/en/education/music","AP University of Applied Sciences","180 ECTS","English","Academic Bachelor"
"Bachelor of Arts in Music: Composition, Conducting, Music Theory/Writing","https://www.studyinflanders.behttps://www.kcb.be/en/Programmes/Music","Erasmus Brussels University of Applied Sciences And Arts","180 ECTS","English","Academic Bachelor"
"Bachelor of Arts in Music: Instrument/Voice (Classical, Historical)","https://www.studyinflanders.behttps://www.kcb.be/en/Programmes/Music","Erasmus Brussels University of Applied Sciences And Arts","180 ECTS","English","Academic Bachelor"
"Bachelor of Arts in Music: Jazz","https://www.studyinflanders.behttps://www.kcb.be/en/Programmes/Music","Erasmus Brussels University of Applied Sciences And Arts","180 ECTS","English","Academic Bachelor"
"Bachelor of Arts in Philosophy","https://www.studyinflanders.behttps://www.kuleuven.be/programmes/bachelor-philosophy?utm_source=vluhr","KU Leuven","180 ECTS","English","Academic Bachelor"
"Bachelor of Arts in Theology and Religious Studies","https://www.studyinflanders.behttps://www.kuleuven.be/programmes/bachelor-theology-religious-studies?utm_source=vluhr","KU Leuven","180 ECTS","English","Academic Bachelor"
"Bachelor of Arts in Visual Arts: Costume design","https://www.studyinflanders.behttps://www.ap-arts.be/en/education/bachelor-and-master-visual-arts/register#Bachelor","AP University of Applied Sciences","180 ECTS","English","Academic Bachelor"
"Bachelor of Arts in Visual Arts: Fashion","https://www.studyinflanders.behttps://www.ap-arts.be/en/education/bachelor-and-master-visual-arts/register#Bachelor","AP University of Applied Sciences","180 ECTS","English","Academic Bachelor"
"Bachelor of Arts in Visual Arts: Fine Arts (Sculpture, Painting, Printmaking, in situ)","https://www.studyinflanders.behttps://www.ap-arts.be/en/education/bachelor-and-master-visual-arts/register#Bachelor","AP University of Applied Sciences","180 ECTS","English","Academic Bachelor"
"Bachelor of Arts in Visual Arts: Graphic Design","https://www.studyinflanders.behttps://www.ap-arts.be/en/education/bachelor-and-master-visual-arts/register#Bachelor","AP University of Applied Sciences","180 ECTS","English","Academic Bachelor"
"Bachelor of Arts in Visual Arts: Jewellery Design, Gold- and Silversmithing","https://www.studyinflanders.behttps://www.ap-arts.be/en/education/bachelor-and-master-visual-arts/register#Bachelor","AP University of Applied Sciences","180 ECTS","English","Academic Bachelor"
"Bachelor of Arts in Visual Arts: Photography","https://www.studyinflanders.behttps://www.ap-arts.be/en/education/bachelor-and-master-visual-arts/register#Bachelor","AP University of Applied Sciences","180 ECTS","English","Academic Bachelor"
"Bachelor of Science in Business Administration","https://www.studyinflanders.behttps://www.kuleuven.be/ba/BBA","KU Leuven","180 ECTS","English","Academic Bachelor"
"Bachelor of Science in Business Economics: Business and Technology","https://www.studyinflanders.behttps://www.vub.be/en/study/business-economics","Vrije Universiteit Brussel","180 ECTS","English","Academic Bachelor"
"Bachelor of Science in Business Economics: International Business","https://www.studyinflanders.behttps://www.vub.be/en/study/business-economics","Vrije Universiteit Brussel","180 ECTS","English","Academic Bachelor"
"Bachelor of Science in Business Engineering","https://www.studyinflanders.behttps://www.kuleuven.be/programmes/bachelor-business-engineering?utm_source=vluhr","KU Leuven
														
																																									UCLL University of Applied Sciences","180 ECTS","English","Academic Bachelor"
"Bachelor of Science in Engineering Technology: Chemical Engineering Technology","https://www.studyinflanders.behttps://www.kuleuven.be/programmes/bachelor-engineering-technology?utm_source=vluhr","KU Leuven","180 ECTS","English","Academic Bachelor"
"Bachelor of Science in Engineering Technology: Electronics and ICT Engineering Technology","https://www.studyinflanders.behttps://www.kuleuven.be/programmes/bachelor-engineering-technology?utm_source=vluhr","KU Leuven","180 ECTS","English","Academic Bachelor"
"Bachelor of Science in Engineering Technology: Elektromechanical Engineering Technology","https://www.studyinflanders.behttps://www.kuleuven.be/programmes/bachelor-engineering-technology?utm_source=vluhr","KU Leuven","180 ECTS","English","Academic Bachelor"
"Bachelor of Science in Social Sciences: Communication Studies","https://www.studyinflanders.behttps://www.vub.be/en/study/social-sciences#general-info","Ghent University
														
																																									Vrije Universiteit Brussel","180 ECTS","English","Academic Bachelor"
"Bachelor of Science in Social Sciences: Political Sciences","https://www.studyinflanders.behttps://www.vub.be/en/study/social-sciences#general-info","Ghent University
														
																																									Vrije Universiteit Brussel","180 ECTS","English","Academic Bachelor"
"Bachelor of Science in Social Sciences: Sociology","https://www.studyinflanders.behttps://www.vub.be/en/study/social-sciences#general-info","Ghent University
														
																																									Vrije Universiteit Brussel","180 ECTS","English","Academic Bachelor"
"Joint Bachelor in Sustainability (UNA Europa)","https://www.studyinflanders.behttps://www.kuleuven.be/programmes/joint-bachelor-in-sustainability","KU Leuven","180 ECTS","English","Academic Bachelor"
"Advanced Bachelor International Management","https://www.studyinflanders.behttps://www.vives.be/en/commercial-sciences-business-management-and-informatics/advanced-bachelor-international-management","VIVES University of Applied Sciences","60 ECTS","English","Advanced Bachelor"
"Advanced Bachelor: Advanced Bachelor of Bioinformatics","https://www.studyinflanders.behttps://www.howest.be/en/programmes/advanced-bachelor-programme/advanced-bachelor-of-bioinformatics","Howest University of Applied Sciences","60 ECTS","English","Advanced Bachelor"
"Advanced Bachelor: Advanced Bachelor of Bioinformatics at home","https://www.studyinflanders.behttps://www.howest.be/en/programmes/advanced-bachelor-programme/advanced-bachelor-of-bioinformatics-at-home","Howest University of Applied Sciences","60 ECTS","English","Advanced Bachelor"
"Advanced Bachelor: Advanced Bachelor of Bioinformatics at home for IT professionals","https://www.studyinflanders.behttps://www.howest.be/en/programmes/advanced-bachelor-programme/advanced-bachelor-of-bioinformatics-at-home","Howest University of Applied Sciences","60 ECTS","English","Advanced Bachelor"
"Advanced Bachelor: Bachelor of Advanced Business Management - Track Design Thinking & Innovation","https://www.studyinflanders.behttps://www.ucll.be/en/programmes/degree-programmes/advanced-bachelor/advanced-business-management/innovation-and-design","UCLL University of Applied Sciences","60 ECTS","English","Advanced Bachelor"
"Advanced Bachelor: Bachelor of Advanced Business Management - Track International Management","https://www.studyinflanders.behttps://www.ucll.be/en/programmes/degrees/advanced-bachelor/advanced-business-management/international-management","UCLL University of Applied Sciences","60 ECTS","English","Advanced Bachelor"
"Advanced Bachelor: Bachelor of Advanced Business Management: Track Digital Supply Chain","https://www.studyinflanders.behttps://www.ucll.be/en/continuing-education/digital-supply-chain-management-advanced-bachelor","UCLL University of Applied Sciences","60 ECTS","English","Advanced Bachelor"
"Advanced Bachelor: Bachelor of Global Citizenship and Development","https://www.studyinflanders.behttps://www.ucll.be/en/programmes/degrees/advanced-bachelor/global-citizenship-and-development","UCLL University of Applied Sciences","60 ECTS","English","Advanced Bachelor"
"EIT-KIC Master of Science in Energy","https://www.studyinflanders.behttps://www.kuleuven.be/ma/MEEITL","KU Leuven","120 ECTS","English","Master"
"Erasmus Mundus European Master in Sustainable Food Systems Engineering, Technology and Business","https://www.studyinflanders.behttps://www.kuleuven.be/ma/MFSTBGT","KU Leuven","120 ECTS","English","Master"
"Erasmus Mundus European Master of Radiation and its Effects on Microelectronics and Photonics Technologies","https://www.studyinflanders.behttps://onderwijsaanbod.kuleuven.be/opleidingen/e/CQ_56129004.htm#","KU Leuven","120 ECTS","English","Master"
"Erasmus Mundus Joint Master of Applied Ecohydrology (IMDO)","https://www.studyinflanders.behttps://www.uantwerpen.be/en/study/programmes/all-programmes/applied-ecohydrology/","University of Antwerp","120 ECTS","English","Master"
"Erasmus Mundus Joint Master of Arts in  European Film Heritage, History and Cultures (FilmMemory)","https://www.studyinflanders.behttps://www.filmmemory.eu/","LUCA School of Arts","120 ECTS","English","Master"
"Erasmus Mundus Joint Master of Arts in Game Design (REPLAY)","https://www.studyinflanders.behttps://www.replaymasters.eu","LUCA School of Arts","120 ECTS","English","Master"
"Erasmus Mundus Joint Master of Arts in Sports Ethics and Integrity","https://www.studyinflanders.behttps://www.kuleuven.be/ma/MASEIL","KU Leuven","120 ECTS","English","Master"
"Erasmus Mundus Joint Master of Fine Arts in Design & Health care (Response_Able Futures)","https://www.studyinflanders.behttps://www.luca-arts.be/en/international-programmes-degree-student","LUCA School of Arts","120 ECTS","English","Master"
"Erasmus Mundus Joint Master of Leading International Vaccinology Education (LIVE)","https://www.studyinflanders.behttps://www.uantwerpen.be/en/study/programmes/all-programmes/leading-international-vaccinology-education/","University of Antwerp","120 ECTS","English","Master"
"Erasmus Mundus Master of Science in Nanoscience and Nanotechnology","https://www.studyinflanders.behttps://www.kuleuven.be/ma/MNNEMML","KU Leuven","120 ECTS","English","Master"
"Erasmus Mundus Master of Science in Public Sector Innovation and eGovernance","https://www.studyinflanders.behttps://www.kuleuven.be/ma/PIONEER","KU Leuven","120 ECTS","English","Master"
"Erasmus Mundus Master of Science in Theoretical Chemistry and Computational Modelling","https://www.studyinflanders.behttps://www.kuleuven.be/ma/MTCCML","KU Leuven","120 ECTS","English","Master"
"Erasmus Mundus Master: Imaging and Light in Extended Reality","https://www.studyinflanders.behttps://onderwijsaanbod.kuleuven.be/opleidingen/e/SC_55546516.htm","KU Leuven","120 ECTS","English","Master"
"European Master of Science in Clinical Linguistics","https://www.studyinflanders.behttps://www.emcl.eu/","Ghent University","120 ECTS","English","Master"
"European Master of Science in Nuclear Fusion and Engineering Physics","https://www.studyinflanders.behttps://www.em-master-fusion.org/","Ghent University","120 ECTS","English","Master"
"ICP Master of Science in Food Technology","https://www.studyinflanders.behttps://www.kuleuven.be/ma/IUPFOOD","KU Leuven","120 ECTS","English","Master"
"ICP Master of Science in Water Resources Engineering","https://www.studyinflanders.behttps://www.kuleuven.be/ma/IUPWARE","KU Leuven","120 ECTS","English","Master"
"International Master of Science in Advanced Research in Criminology: Border Crossing, Security and Social Justice","https://www.studyinflanders.behttps://www.internationalmastercriminology.eu","Ghent University","120 ECTS","English","Master"
"International Master of Science in Agro- and Environmental Nematology","https://www.studyinflanders.behttps://www.imanema.ugent.be/","Ghent University","120 ECTS","English","Master"
"International Master of Science in Environmental Technology and Engineering","https://www.studyinflanders.behttps://www.imete.eu/","Ghent University","120 ECTS","English","Master"
"International Master of Science in Fire Safety Engineering","https://www.studyinflanders.behttps://imfse.be/","Ghent University","120 ECTS","English","Master"
"International Master of Science in Health Management in Aquaculture","https://www.studyinflanders.behttps://aquah.eu/","Ghent University","120 ECTS","English","Master"
"International Master of Science in Marine Biological Resources","https://www.studyinflanders.behttp://www.imbrsea.eu/","Ghent University","120 ECTS","English","Master"
"International Master of Science in Rural Development","https://www.studyinflanders.behttps://studiekiezer.ugent.be/international-master-of-science-in-rural-development-IMRDVC-en/","Ghent University","120 ECTS","English","Master"
"International Master of Science in Soils and Global Change: Physical Land Resources and Global Change","https://www.studyinflanders.behttps://imsoglo.eu/","Ghent University","120 ECTS","English","Master"
"International Master of Science in Soils and Global Change: Soil Biogeochemistry and Global Change","https://www.studyinflanders.behttps://imsoglo.eu/","Ghent University","120 ECTS","English","Master"
"International Master of Science in Sustainable and Innovative Natural Resource Management","https://www.studyinflanders.behttps://sinrem.eu/","Ghent University","120 ECTS","English","Master"
"International Master of Science in Textile Engineering","https://www.studyinflanders.behttps://we-team.education/","Ghent University","120 ECTS","English","Master"
"International Master of Sustainable Drug Discovery","https://www.studyinflanders.behttps://sustainabledrugdiscovery.eu/","Ghent University","120 ECTS","English","Master"
"Joint Master of Arts in Documentary Film Directing (DocNomadsPlus)","https://www.studyinflanders.behttp://www.docnomads.eu/","LUCA School of Arts","120 ECTS","English","Master"
"Master en mécanique naval","https://www.studyinflanders.behttp://www.hzs.be/fr/formations-principales/mecanique-navale","Antwerp Maritime Academy","60 ECTS","French","Master"
"Master en Sciences Nautiques","https://www.studyinflanders.behttps://www.amacademy.be/fr/education/sciences-nautiques","Antwerp Maritime Academy","60 ECTS","French","Master"
"Master in Energy Engineering Technology","https://www.studyinflanders.behttp://uhasselt.be/en/study/programmes/master-of-energy-engineering-technology","Hasselt University","60 ECTS","English","Master"
"Master in Finance","https://www.studyinflanders.behttps://www.antwerpmanagementschool.be/en/program/master-finance?utm_source=SiF&utm_medium=studyportal&utm_campaign=SiF_Program_MIF","Antwerp Management School","60 ECTS","English","Master"
