"University","Degree","Level","Language","Credits_Percent","Area","ECTS_Foreign","Cost_per_ECTS","ECTS","Subjects_Foreign","Linguistic_Requirements","Program_Link"
"UNIVERSIDAD SAN JORGE","Primary Education","Bachelor","English","25%",NA,"60","123","240 (4 years)","12","B1 Spanish / B1 English","https://www.usj.es/be-international/incoming/en/courses/undergraduate/primary"
"UNIVERSIDAD SAN JORGE","Sports Science","Bachelor","English","10%",NA,"24","166","240 (4 years)","1","B1 Spanish / A2 English","https://www.usj.es/be-international/incoming/en/courses/undergraduate/sports"
"UNIVERSIDAD SAN JORGE","Translation and Intercultural Communication","Bachelor","English","35%",NA,"84","152","240 (4 years)","7","B1 Spanish / B1 English","https://www.usj.es/be-international/incoming/en/courses/undergraduate/translation"
"UNIVERSIDAD DE BURGOS","Bachelor's  Business Administration and Management","Bachelor","English","42,50%",NA,"102","18.54","240 (4 years)","14","B1/B2","http://www.ubu.es/facultad-de-ciencias-economicas-y-empresariales/informacion-academica/grados/grado-en-administracion-y-direccion-de-empresas-opcion-bilingüe"
"UNIVERSIDAD DE BURGOS","Bachelor's  Industrial Organization Engineering","Bachelor","English","42,50%",NA,"102","27.72","240 (4 years)","14","B1/B2","http://www.ubu.es/grado-en-ingenieria-de-organizacion-industrial/informacion-basica/gioi-itinerario-bilingue-en-ingles"
"UNIVERSIDAD DE BURGOS","Bachelor's  Civil Engineering","Bachelor","English","37,50%",NA,"90","27.72","240 (4 years)","20","B1/B2","http://www.ubu.es/grado-en-ingenieria-civil-espanol-y-bilingue-en-ingles/informacion-basica/gic-itinerario-bilingue-en-ingles"
"UNIVERSITAT DE BARCELONA","International Business","Bachelor","English","100%",NA,"240","101.08","240 (4 years)","All","http://www.ub.edu/web/ub/en/estudis/estudiar_UB/admissions/admissions_estrangers/admissions_estrangers_grau/admissions_estrangers_grau.html","http://www.ub.edu/web/ub/en/estudis/oferta_formativa/graus/fitxa/I/G1080/index.html"
"UNIVERSITAT DE BARCELONA","Bachelor's  Business Management and Administration - English","Bachelor","English","100%",NA,"240","101.08","240 (4 years)","All","http://www.ub.edu/web/ub/en/estudis/estudiar_UB/admissions/admissions_estrangers/admissions_estrangers_grau/admissions_estrangers_grau.html","http://www.ub.edu/economiaempresa/llengues/en/ade_angles.html"
"UNIVERSITAT DE BARCELONA","Bacherlor's  Bioinformatics","Bachelor","English","100%",NA,"180","158.12","180 (3 years)","All","http://www.ub.edu/web/ub/en/estudis/estudiar_UB/admissions/admissions_estrangers/admissions_estrangers_grau/admissions_estrangers_grau.html","http://www.ub.edu/web/ub/en/estudis/oferta_formativa/graus/fitxa/B/G1091/index.html?"
"UNIVERSITAT DE BARCELONA","Artistic Creation for Videogames and Applied Games","Bachelor","English","",NA,"","143.08","180 (3 years)","","http://www.ub.edu/web/ub/en/estudis/estudiar_UB/admissions/admissions_estrangers/admissions_estrangers_grau/admissions_estrangers_grau.html","http://enti.cat/en/degree-in-digital-creation-and-production/"
"UNIVERSITAT DE BARCELONA","Bacherlor's  English Studies","Bachelor","English","100%",NA,"240","101.08","240 (4 years)","All","http://www.ub.edu/web/ub/en/estudis/estudiar_UB/admissions/admissions_estrangers/admissions_estrangers_grau/admissions_estrangers_grau.html","http://www.ub.edu/web/ub/en/estudis/oferta_formativa/graus/fitxa/E/G1008/index.html?"
"UNIVERSITAT DE BARCELONA","Bachelor's  Biomedical Engineering","Bachelor","English","33%",NA,"79.2","158.12","240 (4 years)","","http://www.ub.edu/web/ub/en/estudis/estudiar_UB/admissions/admissions_estrangers/admissions_estrangers_grau/admissions_estrangers_grau.html","http://www.ub.edu/web/ub/en/estudis/oferta_formativa/graus/fitxa/B/G1074/index.html?"
"UNIVERSITAT DE BARCELONA","Physiotherapy","Bachelor","English","100%",NA,"240","158.12","240 (4 years)","All","http://www.ub.edu/web/ub/en/estudis/estudiar_UB/admissions/admissions_estrangers/admissions_estrangers_grau/admissions_estrangers_grau.html","https://physiotherapybarcelona.net/"
"UNIVERSITAT DE BARCELONA","Tourism","Bachelor","English","100%",NA,"240","101.08","240 (4 years)","All","http://www.ub.edu/web/ub/en/estudis/estudiar_UB/admissions/admissions_estrangers/admissions_estrangers_grau/admissions_estrangers_grau.html","https://www.cett.es/en/academic-offer/courses/bachelors-degree-in-tourism/objectives"
"UNIVERSIDAD DE COMILLAS","Bachelor's  Business Administration and Management","Bachelor","English","80%",NA,"192","186.76","240 (4 years)","38","C1","http://www.comillas.edu/en/grados/grado-en-administracion-y-direccion-de-empresas-e-2-en"
"UNIVERSIDAD DE COMILLAS","Bachelor's  Business Administration and Management","Bachelor","German","45%",NA,"108","186.76","240 (4 years)","14","C1","http://www.comillas.edu/en/grados/grado-en-administracion-y-direccion-de-empresas-e-2-en"
"UNIVERSIDAD DE COMILLAS","Bachelor's  Business Administration and Management","Bachelor","French","65%",NA,"156","186.76","240 (4 years)","21","C1","http://www.comillas.edu/en/grados/grado-en-administracion-y-direccion-de-empresas-e-2-bilingue-en"
"UNIVERSIDAD DE COMILLAS","Dual Degree Program in Business Administration and Management and International Relations.","Bachelor","English","40%",NA,"143","180.72","360 (6 years)","32","","http://www.comillas.edu/en/grados/grado-en-administracion-y-direccion-de-empresas-y-grado-en-relaciones-internacionales-en"
"UNIVERSIDAD DE COMILLAS","Bachelor's  Law","Bachelor","English","18%",NA,"43","183.86","240 (4 years)","12","","http://www.comillas.edu/en/grados/grado-en-derecho-e-1-en"
"UNIVERSIDAD DE COMILLAS","Dual Degree Program in Law and International Relations","Bachelor","English","29%",NA,"110","183.21","360 (6 years)","25","","http://www.comillas.edu/en/grados/grado-en-derecho-y-grado-en-relaciones-internacionales-e-5-doble-titulacion-en"
"UNIVERSIDAD DE COMILLAS","Dual Degree Program in Business Administration and Management and Law","Bachelor","English","11%",NA,"42","190.88","360 (6 years)","7","","http://www.comillas.edu/en/grados/grado-en-administracion-y-direccion-de-empresas-y-grado-en-derecho-e-3-doble-titulacion-en"
"UNIVERSIDAD DE COMILLAS","Dual Degree Program in Business Analytics and Law","Bachelor","English","15%",NA,"55","194.86","360 (6 years)","12","","http://www.comillas.edu/en/grados/doble-grado-en-business-analytics-economics-and-finance-y-derecho-e-3-en"
"UNIVERSIDAD DE COMILLAS","Dual Degree Program in International Relations (Bilingual) and International Communication / Bachelor's  Global Communication","Bachelor","English","70%",NA,"252","175.37","360 (6 years)","56","","http://www.comillas.edu/en/grados/doble-grado-en-relaciones-internacionales-bilinguee-y-bachelor-in-global-communication-en"
"UNIVERSIDAD DE COMILLAS","Dual Degree Program in Translation and Interpreting, and International Communication/ Bachelor's  Global Communication","Bachelor","English","35%",NA,"120.5","149.26","360 (6 years)","28","","http://www.comillas.edu/en/grados/grado-en-traduccion-e-interpretacion-y-bachelor-in-global-communication-en"
"UNIVERSIDAD DE COMILLAS","Bachelor's  Engineering for Industrial Technology","Bachelor","English","18%",NA,"43.5","197.01","240 (4 years)","6","","http://www.icai.comillas.edu/en/grados/giti-en"
"UNIVERSIDAD DE COMILLAS","Dual Degree Program in Engineering for Industrial Technologies and Bachelor in Business Administration","Bachelor","English","12%",NA,"39.5","197.28","360 (6 years)","9","","http://www.icai.comillas.edu/en/grados/giti-ade-en"
"UNIVERSIDAD DE COMILLAS","Bachelor's  Engineering in Telecommunications Technologies","Bachelor","English","11%",NA,"25.5","197.01","240 (4 years)","4","","http://www.icai.comillas.edu/en/grados/gitt-en"
"UNIVERSIDAD DE COMILLAS","Dual Bachelor's  Engineering in Telecommunication Technologies and Business Analytics","Bachelor","English","10%",NA,"37.5","197.28","384","8","","http://www.icai.comillas.edu/en/grados/gitt-ba-en"
"UNIVERSIDAD DE COMILLAS","Dual Degree Program in Physical Activity and Sport Sciences and Primary Education","Bachelor","English","8%",NA,"30","79.94","389,5","7","","http://www.comillas.edu/en/grados/doble-grado-en-ciencias-de-la-actividad-fisica-y-del-deporte-educacion-primaria-en"
"UNIVERSIDAD DE COMILLAS","Bachelor's  Early Childhood Education","Bachelor","English","13%",NA,"30","77.57","240 (4 years)","7","","https://www.comillas.edu/en/grados/grado-en-educacion-infantil-mencion-en-lengua-extranjera-ingles-opcion-internacional-en"
"UNIVERSIDAD DE COMILLAS","Bachelor's  Primary School Education","Bachelor","English","13%",NA,"30","77.57","240 (4 years)","7","","https://www.comillas.edu/en/grados/grado-en-educacion-primaria-mencion-en-lengua-extranjera-ingles-opcion-internacional-en"
"UNIVERSIDAD DE COMILLAS","Dual Degree Program in Early Childhood and Primary Education","Bachelor","English","8%",NA,"30","80.17","353","7","","https://www.comillas.edu/en/grados/grado-en-educacion-infantil-y-grado-en-educacion-primaria-mencion-en-lengua-extranjera-ingles-y-mencion-en-pedagogia-terapeutica-en"
"UNIVERSIDAD DE ALICANTE","Advertising And Public Relations","Bachelor","English","13%",NA,"30","16.37","240 (4 years)","1","None","https://cvnet.cpd.ua.es/webcvnet/planestudio/planestudiond.aspx?plan=C154&lengua=E"
"UNIVERSIDAD DE ALICANTE","Arabic & Islamic Studies","Bachelor","Arabic","38%",NA,"90","16.37","240 (4 years)","32","None","https://cvnet.cpd.ua.es/webcvnet/planestudio/planestudiond.aspx?plan=C005&lengua=E"
"UNIVERSIDAD DE ALICANTE","Biology","Bachelor","English","50%",NA,"120","22.18","240 (4 years)","0","None","https://cvnet.cpd.ua.es/webcvnet/planestudio/planestudiond.aspx?plan=C054&lengua=E"
"UNIVERSIDAD DE ALICANTE","Business Administration And Management","Bachelor","English","51%",NA,"121.5","16.37","240 (4 years)","0","None","https://cvnet.cpd.ua.es/webcvnet/planestudio/planestudiond.aspx?plan=C152&lengua=E"
"UNIVERSIDAD DE ALICANTE","Catalan Studies","Bachelor","English","38%",NA,"90","16.37","240 (4 years)","10","None","https://cvnet.cpd.ua.es/webcvnet/planestudio/planestudiond.aspx?plan=C006&lengua=E"
"UNIVERSIDAD DE ALICANTE","Chemical Engineering","Bachelor","English","19%",NA,"45","22.18","240 (4 years)","2","None","https://cvnet.cpd.ua.es/webcvnet/planestudio/planestudiond.aspx?plan=C204&lengua=E"
"UNIVERSIDAD DE ALICANTE","Civil Engineering","Bachelor","English","30%",NA,"72","22.18","240 (4 years)","2","None","https://cvnet.cpd.ua.es/webcvnet/planestudio/planestudiond.aspx?plan=C208&lengua=E"
"UNIVERSIDAD DE ALICANTE","Computer Engineering","Bachelor","English","40%",NA,"96","22.18","240 (4 years)","2","None","https://cvnet.cpd.ua.es/webcvnet/planestudio/planestudiond.aspx?plan=C203&lengua=E"
"UNIVERSIDAD DE ALICANTE","Economics","Bachelor","English","20%",NA,"48","16.37","240 (4 years)","0","None","https://cvnet.cpd.ua.es/webcvnet/planestudio/planestudiond.aspx?plan=C153&lengua=E"
"UNIVERSIDAD DE ALICANTE","English Studies","Bachelor","English","100%",NA,"240","16.37","240 (4 years)","42","None","https://cvnet.cpd.ua.es/webcvnet/planestudio/planestudiond.aspx?plan=C009&lengua=E"
"UNIVERSIDAD DE ALICANTE","French Studies","Bachelor","French","38%",NA,"90","16.37","240 (4 years)","38","None","https://cvnet.cpd.ua.es/webcvnet/planestudio/planestudiond.aspx?plan=C007&lengua=E"
"UNIVERSIDAD DE ALICANTE","Fundamentals Of Architecture","Bachelor","English","28%",NA,"84","22.18","300 (5 years)","3","None","https://cvnet.cpd.ua.es/webcvnet/planestudio/planestudiond.aspx?plan=C207&lengua=E"
"UNIVERSIDAD DE ALICANTE","Human Nutrition & Dietetics","Bachelor","English","11%",NA,"27","23.15","240 (4 years)","0","None","https://cvnet.cpd.ua.es/webcvnet/planestudio/planestudiond.aspx?plan=C352&lengua=E"
"UNIVERSIDAD DE ALICANTE","Humanities","Bachelor","English","20%",NA,"48","15.17","240 (4 years)","8","None","https://cvnet.cpd.ua.es/webcvnet/planestudio/planestudiond.aspx?plan=C003&lengua=E"
"UNIVERSIDAD DE ALICANTE","Law","Bachelor","English","19%",NA,"45","15.17","240 (4 years)","0","None","https://cvnet.cpd.ua.es/webcvnet/planestudio/planestudiond.aspx?plan=C102&lengua=E"
"UNIVERSIDAD DE ALICANTE","Law + Business Administration (DADE)","Bachelor","English","35%",NA,"136.5","16.37","360 (6 years)","0","None","https://cvnet.cpd.ua.es/webcvnet/planestudio/planestudiond.aspx?plan=C110&lengua=E"
"UNIVERSIDAD DE ALICANTE","Marine Sciences","Bachelor","English","18%",NA,"42","22.18","240 (4 years)","0","None","https://cvnet.cpd.ua.es/webcvnet/planestudio/planestudiond.aspx?plan=C055&lengua=E"
"UNIVERSIDAD DE ALICANTE","Nursing","Bachelor","English","23%",NA,"54","23.15","240 (4 years)","0","None","https://cvnet.cpd.ua.es/webcvnet/planestudio/planestudiond.aspx?plan=C351&lengua=E"
"UNIVERSIDAD DE ALICANTE","Sound And Image In Telecommunication Engineering","Bachelor","English","65%",NA,"156","22.18","240 (4 years)","2","None","https://cvnet.cpd.ua.es/webcvnet/planestudio/planestudiond.aspx?plan=C201&lengua=E"
"UNIVERSIDAD DE ALICANTE","Spanish: Language And Literatures","Bachelor","English","38%",NA,"90","16.37","240 (4 years)","17","None","https://cvnet.cpd.ua.es/webcvnet/planestudio/planestudiond.aspx?plan=C008&lengua=E"
"UNIVERSIDAD DE ALICANTE","Technical Architecture","Bachelor","English","30%",NA,"72","22.18","240 (4 years)","2","None","https://cvnet.cpd.ua.es/webcvnet/planestudio/planestudiond.aspx?plan=C206&lengua=E"
"UNIVERSIDAD DE ALICANTE","Tourism","Bachelor","English","18%",NA,"42","17.95","240 (4 years)","4","None","https://cvnet.cpd.ua.es/webcvnet/planestudio/planestudiond.aspx?plan=C004&lengua=E"
"UNIVERSIDAD DE ALICANTE","Translation/Interpreting","Bachelor","English","65%",NA,"156","16.37","240 (4 years)","114","None","https://cvnet.cpd.ua.es/webcvnet/planestudio/planestudiond.aspx?plan=C010&lengua=E"
"UNIVERSIDAD DE ALICANTE","Joint Decrim.  Law And Criminology","Bachelor","English","18%",NA,"66","16.37","360 (6 years)","0","None","https://cvnet.cpd.ua.es/webcvnet/planestudio/planestudiond.aspx?plan=C111&lengua=E"
"UNIVERSIDAD DE ALICANTE","Simultaneous Program TADE:  Tourism And Business Administration","Bachelor","English","35%",NA,"127.5","17.95","360 (6 years)","4","None","https://cvnet.cpd.ua.es/webcvnet/planestudio/planestudiond.aspx?plan=C160&lengua=E"
"UNIVERSITAT POLITECNICA VALENCIA","Bachelor's  Audiovisual Communications","Bachelor","English","5,60%",NA,"13.5","16.37","240 (4 years)","3","None","http://www.upv.es/titulaciones/GCOA/indexc.html"
"UNIVERSITAT POLITECNICA VALENCIA","Bachelor's  Business Administration and Management","Bachelor","English","74,37%",NA,"178.5","16.37","240 (4 years)","32","","http://www.upv.es/titulaciones/GADE/index-en.html"
"UNIVERSITAT POLITECNICA VALENCIA","Bachelor's  Business Administration and Management","Bachelor","English","12%",NA,"28.5","16.37","240 (4 years)","4","None","http://www.upv.es/contenidos/IOFEPSA/info/859080normali.html"
"UNIVERSITAT POLITECNICA VALENCIA","Bachelor's  Chemical Engineering","Bachelor","English","9%",NA,"22.5","22.18","240 (4 years)","4","None","http://www.upv.es/contenidos/IOFEPSA/info/993329normali.html"
"UNIVERSITAT POLITECNICA VALENCIA","Bachelor's  Electrical Engineering","Bachelor","English","9%",NA,"22.5","22.18","240 (4 years)","4","None","http://www.upv.es/contenidos/IOFEPSA/info/993328normali.html"
"UNIVERSITAT POLITECNICA VALENCIA","Bachelor's  Environmental Sciences","Bachelor","English","13%",NA,"31.5","22.18","240 (4 years)","7","None","http://www.upv.es/titulaciones/GCIA/indexc.html"
"UNIVERSITAT POLITECNICA VALENCIA","Bachelor's  Industrial Design Engineering and Product Development","Bachelor","English","14%",NA,"33","22.18","240 (4 years)","6","None","http://www.upv.es/contenidos/IOFEPSA/info/858569normali.html"
"UNIVERSITAT POLITECNICA VALENCIA","Bachelor's  Industrial Electronics and Automation Engineering","Bachelor","English","80%",NA,"192","22.18","240 (4 years)","29","B2 in English","http://www.upv.es/titulaciones/GIEIA/index-en.html"
"UNIVERSITAT POLITECNICA VALENCIA","Bachelor's  Industrial Technologies Engineering","Bachelor","English","11,50%",NA,"27.6","22.18","240 (4 years)","5","None","http://www.upv.es/titulaciones/GITI/index-en.html"
"UNIVERSITAT POLITECNICA VALENCIA","Bachelor's  Informatics Engineering","Bachelor","English","19%",NA,"45","22.18","240 (4 years)","8","None","http://www.upv.es/contenidos/IOFEPSA/info/859078normali.html"
"UNIVERSITAT POLITECNICA VALENCIA","Bachelor's  Informatics Engineering","Bachelor","English","67,50%",NA,"162","22.18","240 (4 years)","28","B2","https://www.upv.es/titulaciones/GII/"
"UNIVERSITAT POLITECNICA VALENCIA","Bachelor's  Mechanical Engineering","Bachelor","English","11%",NA,"27","22.18","240 (4 years)","5","None","http://www.upv.es/contenidos/IOFEPSA/info/993327normali.html"
"UNIVERSITAT POLITECNICA VALENCIA","Bachelor's  Technical Architecture","Bachelor","English","100%",NA,"240","22.18","240 (4 years)","38","In order to enrol subjects in English, the candidate must have successfully completed ""English"" in high school, Upper-Level Training Cycle or its international equivalent","http://www.upv.es/titulaciones/GIE/indexi.html"
"UNIVERSITAT POLITECNICA VALENCIA","Bachelor's  Telecommunication Technologies and Services Engineering","Bachelor","English","53%",NA,"126.3","22.18","240 (4 years)","22","B2 English","https://www.upv.es/titulaciones/GITTEL/"
"UNIVERSITAT POLITECNICA VALENCIA","Bachelor's  the Fundamentals of Architecture","Bachelor","English","60%",NA,"180","22.18","300 (5 years)","24","none","http://www.upv.es/titulaciones/GFA/index-en.html"
"UNIVERSITAT POLITECNICA VALENCIA","Bachelor's  Tourism","Bachelor","English","4%",NA,"10","17.95","240 (4 years)","2","None","http://www.upv.es/titulaciones/GGT/indexc.html"
"UNIVERSITAT POLITECNICA VALENCIA","Aerospace Engineering","Bachelor","English","66,25%",NA,"159","22.18","240 (4 years)","27","B2 English","http://www.upv.es/titulaciones/GIA/index-en.html"
"UNIVERSITAT POLITECNICA VALENCIA","Bachelor's  Biotechnology","Bachelor","English","85,00%",NA,"204","22.18","240 (4 years)","28","B2 English","http://www.upv.es/titulaciones/GB/indexi.html"
"UNIVERSIDAD DE CANTABRIA","Hispanic Studies","Bachelor","English","7,50%",NA,"18","10.28","240 (4 years)","3","None","http://web.unican.es/estudios/detalle-estudio?p=136&a=2017"
"UNIVERSIDAD DE CANTABRIA","History","Bachelor","English","7,50%",NA,"18","10.28","240 (4 years)","3","None","http://web.unican.es/estudios/detalle-estudio?p=70&a=2017"
"UNIVERSIDAD DE CANTABRIA","Physics","Bachelor","English","17,50%",NA,"42","12.62","240 (4 years)","5","None","http://web.unican.es/estudios/detalle-estudio?p=67&a=2017"
"UNIVERSIDAD DE CANTABRIA","Mathematics","Bachelor","English","7,50%",NA,"18","12.62","240 (4 years)","3","None","http://web.unican.es/estudios/detalle-estudio?p=68&a=2017"
"UNIVERSIDAD DE CANTABRIA","Nursing","Bachelor","English","2,50%",NA,"6","16.07","240 (4 years)","1","None","http://web.unican.es/estudios/detalle-estudio?p=120&a=2017"
"UNIVERSIDAD DE CANTABRIA","Medicine","Bachelor","English","10,00%",NA,"36","16.07","360 (6 years)","6","None","http://web.unican.es/estudios/detalle-estudio?p=66&a=2017"
"UNIVERSIDAD DE CANTABRIA","Business Administration and Management","Bachelor","English","5,00%",NA,"12","11.14","240 (4 years)","2","None","http://web.unican.es/estudios/detalle-estudio?p=116&a=2017"
"UNIVERSIDAD DE CANTABRIA","Law","Bachelor","English","2,50%",NA,"6","11.14","240 (4 years)","1","None","http://web.unican.es/estudios/detalle-estudio?p=119&a=2017"
"UNIVERSIDAD DE CANTABRIA","Economics","Bachelor","English","22,50%",NA,"54","11.14","240 (4 years)","9","None","http://web.unican.es/estudios/detalle-estudio?p=117&a=2017; http://web.unican.es/en/Studying/academic-offer/diploma-in-european-business-and-economics"
"UNIVERSIDAD DE CANTABRIA","Geography and Land Planning","Bachelor","English","5,00%",NA,"12","11.14","240 (4 years)","2","None","http://web.unican.es/estudios/detalle-estudio?p=69&a=2017"
"UNIVERSIDAD DE CANTABRIA","Early Childhood Education","Bachelor","English","20,00%",NA,"48","11.14","240 (4 years)","8","None","http://web.unican.es/estudios/detalle-estudio?p=110&a=2017"
"UNIVERSIDAD DE CANTABRIA","Primary Education Teaching","Bachelor","English","20,00%",NA,"48","11.14","240 (4 years)","8","None","http://web.unican.es/estudios/detalle-estudio?p=111&a=2017"
"UNIVERSIDAD DE CANTABRIA","Labour Relations","Bachelor","English","5,00%",NA,"12","11.14","240 (4 years)","2","None","http://web.unican.es/estudios/detalle-estudio?p=118&a=2017"
"UNIVERSIDAD DE CANTABRIA","Tourism","Bachelor","English","20,00%",NA,"48","11.14","240 (4 years)","6","None","http://euturismoaltamira.com/"
"UNIVERSIDAD DE CANTABRIA","Civil Engineering","Bachelor","English","25,00%",NA,"60","15.02","240 (4 years)","10","None","http://web.unican.es/estudios/detalle-estudio?p=114&a=2017; http://web.unican.es/en/Studying/academic-offer/courses-taught-in-english/european-project-semester-in-chemical-engineering-(eps)"
"UNIVERSIDAD DE CANTABRIA","Energy Resources Engineering","Bachelor","English","2,50%",NA,"6","15.02","240 (4 years)","1","None","http://web.unican.es/estudios/detalle-estudio?p=101&a=2017"
"UNIVERSIDAD DE CANTABRIA","Mining Resources Engineering","Bachelor","English","2,50%",NA,"6","15.02","240 (4 years)","1","None","http://web.unican.es/estudios/detalle-estudio?p=102&a=2017"
"UNIVERSIDAD DE CANTABRIA","Telecommunication Technologies Engineering","Bachelor","English","5,00%",NA,"12","15.02","240 (4 years)","2","None","http://web.unican.es/estudios/detalle-estudio?p=99&a=2017"
"UNIVERSIDAD DE CANTABRIA","Electrical Engineering","Bachelor","English","5,00%",NA,"12","15.02","240 (4 years)","2","None","http://web.unican.es/estudios/detalle-estudio?p=103&a=2017"
"UNIVERSIDAD DE CANTABRIA","Industrial Electronic Engineering and Automatic Control Systems","Bachelor","English","5,00%",NA,"12","15.02","240 (4 years)","2","None","http://web.unican.es/estudios/detalle-estudio?p=107&a=2017"
"UNIVERSIDAD DE CANTABRIA","Industrial Technologies Engineering","Bachelor","English","5,00%",NA,"12","15.02","240 (4 years)","2","None","http://web.unican.es/estudios/detalle-estudio?p=108&a=2017"
"UNIVERSIDAD DE CANTABRIA","Computer Systems Engineering","Bachelor","English","7,50%",NA,"18","15.02","240 (4 years)","3","None","http://web.unican.es/estudios/detalle-estudio?p=98&a=2017"
"UNIVERSIDAD DE CANTABRIA","Marine Engineering","Bachelor","English","5,00%",NA,"12","15.02","240 (4 years)","2","None","http://web.unican.es/estudios/detalle-estudio?p=124&a=2017"
"UNIVERSIDAD DE CANTABRIA","Maritime Engineering","Bachelor","English","5,00%",NA,"12","15.02","240 (4 years)","2","None","http://web.unican.es/estudios/detalle-estudio?p=112&a=2017"
"UNIVERSIDAD DE CANTABRIA","Mechanical Engineering","Bachelor","English","2,50%",NA,"6","15.02","240 (4 years)","1","None","http://web.unican.es/estudios/detalle-estudio?p=109&a=2017"
"UNIVERSIDAD DE CANTABRIA","Nautical Engineering and Maritime Transport","Bachelor","English","7,50%",NA,"18","15.02","240 (4 years)","3","None","http://web.unican.es/estudios/detalle-estudio?p=125&a=2017"
"UNIVERSIDAD DE CANTABRIA","Chemical Engineering","Bachelor","English","15,00%",NA,"36","15.02","240 (4 years)","6","None","http://web.unican.es/estudios/detalle-estudio?p=113&a=2017"
"UNIVERSIDAD DE SANTIAGO DE COMPOSTELA","English Language and Literature","Bachelor","English","50%",NA,"120","62,00","240 (4 years)","20","None","http://www.usc.es/graos/en/degrees/arts-and-humanities/english-language-and-literature"
"UNIVERSIDAD DE SANTIAGO DE COMPOSTELA","Modern Languages and Literatures","Bachelor","English","50%",NA,"120","62,00","240 (4 years)","20","None","http://www.usc.es/graos/en/degrees/arts-and-humanities/modern-languages-and-literatures"
"UNIVERSIDAD DE SANTIAGO DE COMPOSTELA","Chemistry","Bachelor","English","15,76%",NA,"43.5","87,00","240 (4 years)","9","None","http://www.usc.es/graos/en/degrees/science/chemistry"
"UNIVERSIDAD DE SANTIAGO DE COMPOSTELA","Veterinary Science","Bachelor","English","1,74%",NA,"6","87,00","300 (5 years)","1","None","http://www.usc.es/graos/en/degrees/health-science/veterinary-science"
"UNIVERSIDAD DE ZARAGOZA","Modern Languages","Bachelor","English/Français","90%",NA,"228","41.1","240 (4 years)","36","No specific academic requirements. Nevertheless, keeping in mind the goals to reach, it is recommended  at least A1 in French or English as minor languajes, and B1 in the major languajes","https://estudios.unizar.es/estudio/ver?id=153"
"UNIVERSIDAD DE ZARAGOZA","Business Administration and Management","Bachelor","English","100%",NA,"240","48.6","240 (4 years)","29","B1 required. B2 for students accessing the degree after the first academic year","https://estudios.unizar.es/estudio/ver?id=131 "
