"Title","Study_Level","University","City","Credits","Field","Language"
"Master's programme in Food Technology and Nutrition","Master","Lund University","Lund","120 Credits","Agriculture, Horticulture, Forestry and Fishery","English"
"Master's Programme in Plant and Forest Biotechnology","Master","Umeå University","Umeå","120 Credits","Agriculture, Horticulture, Forestry and Fishery","English"
"Master's Programme in Plant and Forest Biotechnology","Master","Umeå University","Umeå","120 Credits","Agriculture, Horticulture, Forestry and Fishery","English"
"Plant Biology for Sustainable Production - Master´s programme - Abiotic and Biotic Interactions of Cultivated Plants","Master","Swedish University of Agricultural Sciences","Uppsala","120 Credits","Agriculture, Horticulture, Forestry and Fishery","English"
"Plant Biology for Sustainable Production - Master´s programme - Erasmus Mundus Plant Biology","Master","Swedish University of Agricultural Sciences","Uppsala","120 Credits","Agriculture, Horticulture, Forestry and Fishery","English"
"Plant Biology for Sustainable Production - Master´s programme - Plant Protection and Breeding","Master","Swedish University of Agricultural Sciences","Lomma","120 Credits","Agriculture, Horticulture, Forestry and Fishery","English"
"Soil, Water and Environment - Master's Programme","Master","Swedish University of Agricultural Sciences","Uppsala","120 Credits","Agriculture, Horticulture, Forestry and Fishery","English"
"The Master's Programme Sustainable Food Systems","Master","Swedish University of Agricultural Sciences","Uppsala","120 Credits","Agriculture, Horticulture, Forestry and Fishery","English"
"Architecture and Planning Beyond Sustainability, Msc Progr","Master","Chalmers University of Technology","Göteborg","120 Credits","Art, Design and Media","English"
"Architecture and Urban Design, Msc Progr","Master","Chalmers University of Technology","Göteborg","120 Credits","Art, Design and Media","English"
"Architecture Program","Integrated Bachelor + Master","Umeå University","Umeå","300 Credits","Art, Design and Media","English"
"Bachelor of Education in Music - Instrumental-/voice teacher","Bachelor","University College of Music Education in Stockholm","Huddinge","180 Credits","Art, Design and Media","English"
"Bachelor of Education in Music - majoring in Music Creation","Bachelor","University College of Music Education in Stockholm","Huddinge","180 Credits","Art, Design and Media","English"
"Bachelor of Fine Arts in Contemporary Traditions in Music","Bachelor","University of Gothenburg","Göteborg","180 Credits","Art, Design and Media","English"
"Bachelor of Fine Arts in Opera","Bachelor","University of Gothenburg","Göteborg","180 Credits","Art, Design and Media","English"
"Bachelor Programme in Circus","Bachelor","Stockholm University of the Arts ","Stockholm","180 Credits","Art, Design and Media","English"
"Bachelor programme in Computer Game Development and Programming, International students","Bachelor","Luleå University of Technology","Skellefteå","180 Credits","Art, Design and Media","English"
"Bachelor Programme in Computer graphics for game and film, International students","Bachelor","Luleå University of Technology","Skellefteå","180 Credits","Art, Design and Media","English"
"Bachelor Programme in Fashion Design","Bachelor","Beckmans college of design","Stockholm","180 Credits","Art, Design and Media","English"
"Bachelor Programme in Music","Bachelor","Karlstad University","Arvika","180 Credits","Art, Design and Media","English"
"Bachelor Programme in Music - Church Music","Bachelor","Luleå University of Technology","Piteå","180 Credits","Art, Design and Media","English"
"Bachelor Programme in Music - Classical Musician","Bachelor","Luleå University of Technology","Piteå","180 Credits","Art, Design and Media","English"
"Bachelor Programme in Music - Composition","Bachelor","Luleå University of Technology","Piteå","180 Credits","Art, Design and Media","English"
"Bachelor Programme in Music, Folk- and World Music","Bachelor","Lund University","Malmö","180 Credits","Art, Design and Media","English"
"Bachelor Programme in Music, Individual Programme","Bachelor","Lund University","Malmö","180 Credits","Art, Design and Media","English"
"Bachelor Programme in Product Design","Bachelor","Beckmans college of design","Stockholm","180 Credits","Art, Design and Media","English"
"Bachelor Programme of Fine Arts","Bachelor","Lund University","Malmö","180 Credits","Art, Design and Media","English"
"Bachelor Programme  in Visual Communication","Bachelor","Beckmans college of design","Stockholm","180 Credits","Art, Design and Media","English"
"Bachelor's programme in Chamber Music - Keyboard instruments","Bachelor","Mälardalen University","Västerås","180 Credits","Art, Design and Media","English"
"Bachelor's programme in Chamber Music - Song","Bachelor","Mälardalen University","Västerås","180 Credits","Art, Design and Media","English"
"Bachelor's programme in Chamber Music - String Instrument","Bachelor","Mälardalen University","Västerås","180 Credits","Art, Design and Media","English"
"Bachelor's programme in Chamber Music - Wind instruments","Bachelor","Mälardalen University","Västerås","180 Credits","Art, Design and Media","English"
"Bachelor's Programme in Classical Music","Bachelor","Royal College of Music in Stockholm","Stockholm","180 Credits","Art, Design and Media","English"
"Bachelor's Programme in Classical Music at Edsberg Manor","Bachelor","Royal College of Music in Stockholm","Stockholm","180 Credits","Art, Design and Media","English"
"Bachelor's Programme in Game Design and Graphics","Bachelor","Uppsala University","Gotland","180 Credits","Art, Design and Media","English"
"Bachelor's Programme in Game Design and Programming","Bachelor","Uppsala University","Gotland","180 Credits","Art, Design and Media","English"
"Bachelor's Programme in Game Design and Project Management","Bachelor","Uppsala University","Gotland","180 Credits","Art, Design and Media","English"
"Bachelor's Programme in Mime Acting","Bachelor","Stockholm University of the Arts ","Stockholm","180 Credits","Art, Design and Media","English"
"Bachelor's Programme in Music with a specialization in Early Music","Bachelor","Royal College of Music in Stockholm","Stockholm","180 Credits","Art, Design and Media","English"
"Bachelor's Programme in Music, Composition with a specialization in Contemporary Music","Bachelor","Royal College of Music in Stockholm","Stockholm","180 Credits","Art, Design and Media","English"
"Bachelor's Programme in Music, Composition with a specialization in Electroacoustic Music","Bachelor","Royal College of Music in Stockholm","Stockholm","180 Credits","Art, Design and Media","English"
"Bachelor's Programme in Music, Conducting with a specialization in Choral Conducting","Bachelor","Royal College of Music in Stockholm","Stockholm","180 Credits","Art, Design and Media","English"
"Bachelor's Programme in Music, Conducting with a specialization in Orchestral Conducting","Bachelor","Royal College of Music in Stockholm","Stockholm","180 Credits","Art, Design and Media","English"
"Bachelor's Programme in Music, with a specialization in Classical Performance","Bachelor","University of Gothenburg","Göteborg","180 Credits","Art, Design and Media","English"
"Bachelor's Programme in Music, with a specialization in Improvisation Performance","Bachelor","University of Gothenburg","Göteborg","180 Credits","Art, Design and Media","English"
"Bachelor's Programme in Music, with a specialization in Music Production","Bachelor","Royal College of Music in Stockholm","Stockholm","180 Credits","Art, Design and Media","English"
"Bachelor's Programme in Music, with a specialization in Swedish Folk Music","Bachelor","Royal College of Music in Stockholm","Stockholm","180 Credits","Art, Design and Media","English"
"Bachelors Programme in Music, with a specialization in Church Music","Bachelor","Royal College of Music in Stockholm","Stockholm","180 Credits","Art, Design and Media","English"
"Bachelors Programme in Music, with a specialization in Folk Music (except Scandinavian) or Non-Western Art Music","Bachelor","Royal College of Music in Stockholm","Stockholm","180 Credits","Art, Design and Media","English"
"Bachelors Programme in Music, with a specialization in Jazz","Bachelor","Royal College of Music in Stockholm","Stockholm","180 Credits","Art, Design and Media","English"
"BFA Programme in Craft with Specialisation in Crafting Futures","Bachelor","University of Gothenburg","Bengtsfors","180 Credits","Art, Design and Media","English"
"BFA Programme in Metal Art","Bachelor","University of Gothenburg","Bengtsfors","180 Credits","Art, Design and Media","English"
"BFA Programme in Wood Oriented Furniture Design","Bachelor","University of Gothenburg","Bengtsfors","180 Credits","Art, Design and Media","English"
"Design + Change","Bachelor","Linnaeus University (Kalmar Växjö)","Växjö","180 Credits","Art, Design and Media","English"
"Design, Master's Programme","Master","Linköping University","Linköping","120 Credits","Art, Design and Media","English"
"Digital Product Development (master)","Master","Jönköping University","Jönköping","120 Credits","Art, Design and Media","English"
"Fashion Design","Bachelor","University of Borås","Borås","180 Credits","Art, Design and Media","English"
"Food and Landscape - Masters programme","Master","Swedish University of Agricultural Sciences","Lomma","120 Credits","Art, Design and Media","English"
"Agricultural Economics and Management - Master's Programme","Master","Swedish University of Agricultural Sciences","Uppsala","120 Credits","Business, Administration and Economics","English"
"Agricultural, Food and Environmental Policy Analysis (AFEPA) - Master's Programme","Master","Swedish University of Agricultural Sciences","Uppsala","120 Credits","Business, Administration and Economics","English"
"Analytical Finance","Bachelor","Mälardalen University","Västerås","180 Credits","Business, Administration and Economics","English"
"Arctic Mineral Resources, specialization Mineral Entrepreneurship, international students","Master","Luleå University of Technology","Luleå","120 Credits","Business, Administration and Economics","English"
"Arctic Mineral Resources, specialization Mineral Resource Management, international students","Master","Luleå University of Technology","Luleå","120 Credits","Business, Administration and Economics","English"
"Bachelor in International Economics","Bachelor","Jönköping University","Jönköping","180 Credits","Business, Administration and Economics","English"
"Bachelor in International Management","Bachelor","Jönköping University","Jönköping","180 Credits","Business, Administration and Economics","English"
"Bachelor in Marketing Management","Bachelor","Jönköping University","Jönköping","180 Credits","Business, Administration and Economics","English"
"Bachelor in Sustainable Enterprise Development","Bachelor","Jönköping University","Jönköping","180 Credits","Business, Administration and Economics","English"
"Bachelor of Science Program in Business and Economics","Bachelor","Stockholm School of Economics","Stockholm","180 Credits","Business, Administration and Economics","English"
"Bachelor of Science Program in Retail Management","Bachelor","Stockholm School of Economics","Stockholm","180 Credits","Business, Administration and Economics","English"
"Bachelor of Science Programme in Development Studies","Bachelor","Lund University","Lund","180 Credits","Business, Administration and Economics","English"
"Bachelor Programme in Economy and Society","Bachelor","Lund University","Lund","180 Credits","Business, Administration and Economics","English"
"Bachelor Programme in International Business","Bachelor","Lund University","Lund","180 Credits","Business, Administration and Economics","English"
"Bachelor's Programme in Business and Economics","Bachelor","University of Gothenburg","Göteborg","180 Credits","Business, Administration and Economics","English"
"Bachelor's Programme in Business and Economics","Bachelor","University of Gothenburg","Göteborg","180 Credits","Business, Administration and Economics","English"
"Bachelor's Programme in Energy Transition - Sustainability and Leadership","Bachelor","Uppsala University","Gotland","180 Credits","Business, Administration and Economics","English"
"Bachelor's Programme in Game Design and Graphics","Bachelor","Uppsala University","Gotland","180 Credits","Business, Administration and Economics","English"
"Bachelor's Programme in Game Design and Programming","Bachelor","Uppsala University","Gotland","180 Credits","Business, Administration and Economics","English"
"Bachelor's Programme in Game Design and Project Management","Bachelor","Uppsala University","Gotland","180 Credits","Business, Administration and Economics","English"
"Bachelor's Programme in International Business and Politics","Bachelor","Stockholm University","Stockholm","180 Credits","Business, Administration and Economics","English"
"Bachelor's Programme in International Business and Politics","Bachelor","Stockholm University","Stockholm","180 Credits","Business, Administration and Economics","English"
"Bachelor's Programme in Leadership - Quality Management - Improvement - Campus","Bachelor","Uppsala University","Gotland","180 Credits","Business, Administration and Economics","English"
"Bachelors Programme in Business, Ethics and Sustainability","Bachelor","Stockholm University","Stockholm","180 Credits","Business, Administration and Economics","English"
"Bachelors Programme in Business, Ethics and Sustainability","Bachelor","Stockholm University","Stockholm","180 Credits","Business, Administration and Economics","English"
"Business Administration - Strategy and Management in International Organisations, Master's Programme - First and main admission round","Master","Linköping University","Linköping","120 Credits","Business, Administration and Economics","English"
"Business Development and Marketing - Masters Programme","Master","University of Skövde","Skövde","60 Credits","Business, Administration and Economics","English"
"Business Process Control and Supply Chain Management, Master Programme - Frontiers in Logistics & Supply Chain Management","Master","Linnaeus University (Kalmar Växjö)","Växjö","120 Credits","Business, Administration and Economics","English"
"Business Process Control and Supply Chain Management, Master Programme - Frontiers in Management Accounting & Process-based Control","Master","Linnaeus University (Kalmar Växjö)","Växjö","120 Credits","Business, Administration and Economics","English"
"Design and Construction Project Management, Msc Progr","Master","Chalmers University of Technology","Göteborg","120 Credits","Business, Administration and Economics","English"
"Economics, master programme","Master","Linnaeus University (Kalmar Växjö)","Växjö","120 Credits","Business, Administration and Economics","English"
"Economics, Master's Programme (INT)","Master","Södertörn University","Huddinge","120 Credits","Business, Administration and Economics","English"
"Economics: Master's Programme","Master","Södertörn University","Huddinge","120 Credits","Business, Administration and Economics","English"
"Energy and Management for Sustainable Development, Master Programme","Master","Linnaeus University (Kalmar Växjö)","Växjö","120 Credits","Business, Administration and Economics","English"
"Entrepreneurship and Business Design, Msc Progr","Master","Chalmers University of Technology","Göteborg","120 Credits","Business, Administration and Economics","English"
"Entrepreneurship, Sustainability and Social Change, Master Programme","Master","Linnaeus University (Kalmar Växjö)","Växjö","120 Credits","Business, Administration and Economics","English"
"Environmental Economics and Management - Master's Programme","Master","Swedish University of Agricultural Sciences","Uppsala","120 Credits","Business, Administration and Economics","English"
"Forest and Business Management (MSc)","Master","Swedish University of Agricultural Sciences","Uppsala","120 Credits","Business, Administration and Economics","English"
"Horticultural Science - Master's Programme","Master","Swedish University of Agricultural Sciences","Lomma","120 Credits","Business, Administration and Economics","English"
"Industrial Engineering and Management, Master's Programme","Master","Linköping University","Linköping","120 Credits","Business, Administration and Economics","English"
"Industrial Engineering and Management: Sustainable Supply Chain Management","Bachelor","Jönköping University","Jönköping","180 Credits","Business, Administration and Economics","English"
"Innovation through Business, Engineering and Design - Specialisation Business, Master Programme","Master","Linnaeus University (Kalmar Växjö)","Växjö","120 Credits","Business, Administration and Economics","English"
"Innovation through Business, Engineering and Design - specialisation design, Master Programme","Master","Linnaeus University (Kalmar Växjö)","Växjö","120 Credits","Business, Administration and Economics","English"
"Innovation through Business, Engineering and Design - specialisation Engineering, Master Programme","Master","Linnaeus University (Kalmar Växjö)","Växjö","120 Credits","Business, Administration and Economics","English"
"International Business and Economics Programme","Bachelor","Umeå University","Umeå","180 Credits","Business, Administration and Economics","English"
"International Business and Economics Programme","Bachelor","Umeå University","Umeå","180 Credits","Business, Administration and Economics","English"
"International Business Management","Bachelor","Mälardalen University","Västerås","180 Credits","Business, Administration and Economics","English"
"International Business Programme","Bachelor","Linnaeus University (Kalmar Växjö)","Kalmar","180 Credits","Business, Administration and Economics","English"
"International Business Strategy, Master Programme","Master","Linnaeus University (Kalmar Växjö)","Kalmar","120 Credits","Business, Administration and Economics","English"
"International Master's Program in Curating, including Art, Management and Law","Master","Stockholm University","Stockholm","120 Credits","Business, Administration and Economics","English"
"AI Engineering (master)","Master","Jönköping University","Jönköping","120 Credits","Computer, Science and Engineering","English"
"Applied Mathematics Programme","Bachelor","Linnaeus University (Kalmar Växjö)","Växjö","180 Credits","Computer, Science and Engineering","English"
"Applied Mechanics, Msc Progr","Master","Chalmers University of Technology","Göteborg","120 Credits","Computer, Science and Engineering","English"
"Artificial Intelligence - Bachelor Programme in Computer Science","Bachelor","Karlstad University","Karlstad","180 Credits","Computer, Science and Engineering","English"
"Artificial Intelligence - Bachelor Programme in Computer Science","Bachelor","Karlstad University","Karlstad","180 Credits","Computer, Science and Engineering","English"
"Artificial Intelligence - Bachelor Programme in Computer Science","Bachelor","Karlstad University","Karlstad","180 Credits","Computer, Science and Engineering","English"
"Bachelor programme in Computer Game Development and Programming, International students","Bachelor","Luleå University of Technology","Skellefteå","180 Credits","Computer, Science and Engineering","English"
"Bachelor Programme in Computer graphics for game and film, International students","Bachelor","Luleå University of Technology","Skellefteå","180 Credits","Computer, Science and Engineering","English"
"Bachelor Programme in Computer Science and Engineering, specializing in the Internet of Things","Bachelor","Kristianstad University","Kristianstad","180 Credits","Computer, Science and Engineering","English"
"Bachelor Programme in Software Development","Bachelor","Kristianstad University","Kristianstad","180 Credits","Computer, Science and Engineering","English"
"Bachelor's Programme in Game Design and Graphics","Bachelor","Uppsala University","Gotland","180 Credits","Computer, Science and Engineering","English"
"Bachelor's Programme in Game Design and Programming","Bachelor","Uppsala University","Gotland","180 Credits","Computer, Science and Engineering","English"
"Bachelor's Programme in Game Design and Project Management","Bachelor","Uppsala University","Gotland","180 Credits","Computer, Science and Engineering","English"
"Bachelor's Programme in Information and Communication Technology","Bachelor","KTH Royal Institute of Technology","Stockholm","180 Credits","Computer, Science and Engineering","English"
"Bachelor´s Programme in Experimental and Industrial Biomedicine (International admissions round)","Bachelor","Linköping University","Linköping","180 Credits","Computer, Science and Engineering","English"
"Biomarkers in Molecular Medicine - Master's Programme","Master","University of Skövde","Skövde","120 Credits","Computer, Science and Engineering","English"
"Biomedical Engineering, Msc Progr","Master","Chalmers University of Technology","Göteborg","120 Credits","Computer, Science and Engineering","English"
"Business Administration - Strategy and Management in International Organisations, Master's Programme - First and main admission round","Master","Linköping University","Linköping","120 Credits","Computer, Science and Engineering","English"
"Business Development and Marketing - Masters Programme","Master","University of Skövde","Skövde","60 Credits","Computer, Science and Engineering","English"
"Business Intelligence: Master Programme","Master","Dalarna University","Borlänge","60 Credits","Computer, Science and Engineering","English"
"Business Intelligence: Master Programme","Master","Dalarna University","Borlänge","60 Credits","Computer, Science and Engineering","English"
"Complex Adaptive Systems, Msc Progr","Master","Chalmers University of Technology","Göteborg","120 Credits","Computer, Science and Engineering","English"
"Computational Methods in Engineering - Master's Programme","Master","University of Skövde","Skövde","120 Credits","Computer, Science and Engineering","English"
"Computational Social Science, Master's Programme - First and main admission round","Master","Linköping University","Norrköping","120 Credits","Computer, Science and Engineering","English"
"Computer Science - Algorithms, Languages and Logic, Msc Progr","Master","Chalmers University of Technology","Göteborg","120 Credits","Computer, Science and Engineering","English"
"Computer Science, Master's Programme","Master","University of Gothenburg","Göteborg","120 Credits","Computer, Science and Engineering","English"
"Computer Science, Master's Programme","Master","University of Gothenburg","Göteborg","120 Credits","Computer, Science and Engineering","English"
"Computer Science, Master's Programme","Master","Linköping University","Linköping","120 Credits","Computer, Science and Engineering","English"
"Computer Science: Applied Data Science, Master's Program (Two-Year)","Master","Malmö University","Malmö","120 Credits","Computer, Science and Engineering","English"
"Computer Science: Applied Data Science, Master's Program (Two-Year)","Master","Malmö University","Malmö","120 Credits","Computer, Science and Engineering","English"
"Computer Science: Innovation for Change in a Digital Society, Master's Program (Two-Year)","Master","Malmö University","Malmö","120 Credits","Computer, Science and Engineering","English"
"Computer Science: Innovation for Change in a Digital Society, Master's Program (Two-Year)","Master","Malmö University","Malmö","120 Credits","Computer, Science and Engineering","English"
"Computer Science: Internet of Things, Master's Programme (Two-Year)","Master","Malmö University","Malmö","120 Credits","Computer, Science and Engineering","English"
"Computer Science: Internet of Things, Master's Programme (Two-Year)","Master","Malmö University","Malmö","120 Credits","Computer, Science and Engineering","English"
"Computer Systems and Cybersecurity, Msc Progr","Master","Chalmers University of Technology","Göteborg","120 Credits","Computer, Science and Engineering","English"
"Cybersecurity (one year master)","Master","Jönköping University","Jönköping","60 Credits","Computer, Science and Engineering","English"
"Cybersecurity and Network Administration","Bachelor","University of Skövde","Skövde","180 Credits","Computer, Science and Engineering","English"
"Cybersecurity, Master's Programme","Master","Linköping University","Linköping","120 Credits","Computer, Science and Engineering","English"
"Data Science - Master's Programme","Master","University of Skövde","Skövde","120 Credits","Computer, Science and Engineering","English"
"Data Science - Master's Programme","Master","University of Skövde","Skövde","60 Credits","Computer, Science and Engineering","English"
"Data Science and AI, Msc Progr","Master","Chalmers University of Technology","Göteborg","120 Credits","Computer, Science and Engineering","English"
"Data Science: Master programme","Master","Dalarna University","Borlänge","120 Credits","Computer, Science and Engineering","English"
"Data Science: Master programme","Master","Dalarna University","Borlänge","120 Credits","Computer, Science and Engineering","English"
"Digital Leadership Master's Programme","Master","University of Gothenburg","Göteborg","120 Credits","Computer, Science and Engineering","English"
"Digital Leadership Master's Programme","Master","University of Gothenburg","Göteborg","120 Credits","Computer, Science and Engineering","English"
"Embedded Electronic System Design, Msc Progr","Master","Chalmers University of Technology","Göteborg","120 Credits","Computer, Science and Engineering","English"
"Engineering Mathematics and Computational Science, Msc Progr","Master","Chalmers University of Technology","Göteborg","120 Credits","Computer, Science and Engineering","English"
"Game Design & Technology Master's Programme","Master","University of Gothenburg","Göteborg","120 Credits","Computer, Science and Engineering","English"
"Game Design & Technology Master's Programme","Master","University of Gothenburg","Göteborg","120 Credits","Computer, Science and Engineering","English"
"Game Development - Master's programme","Master","University of Skövde","Skövde","120 Credits","Computer, Science and Engineering","English"
"Adult Learning and Global Change, Master's Programme, Distance","Master","Linköping University","Linköping","60 Credits","Educational, Educational Science and Didactics","English"
"Bachelor of Education in Music - Instrumental-/voice teacher","Bachelor","University College of Music Education in Stockholm","Huddinge","180 Credits","Educational, Educational Science and Didactics","English"
"Bachelor of Education in Music - majoring in Music Creation","Bachelor","University College of Music Education in Stockholm","Huddinge","180 Credits","Educational, Educational Science and Didactics","English"
"Education for Sustainable Development, Master's Programme","Master","University of Gothenburg","Varied","120 Credits","Educational, Educational Science and Didactics","English"
"Education: Educational Theory, Master's Programme (Two-Year)","Master","Malmö University","Malmö","120 Credits","Educational, Educational Science and Didactics","English"
"Education: Educational Theory, Master's Programme (Two-Year)","Master","Malmö University","Malmö","120 Credits","Educational, Educational Science and Didactics","English"
"English and Education: Master's Programme (Two-Year)","Master","Malmö University","Malmö","120 Credits","Educational, Educational Science and Didactics","English"
"English and Education: Master's Programme (Two-Year)","Master","Malmö University","Malmö","120 Credits","Educational, Educational Science and Didactics","English"
"Graduate course for Teaching in Schools of the Arts, majoring in Music",NA,"University College of Music Education in Stockholm","Huddinge","90 Credits","Educational, Educational Science and Didactics","English"
"Graduate course for Teaching in Schools of the Arts, majoring in Music Creation",NA,"University College of Music Education in Stockholm","Huddinge","90 Credits","Educational, Educational Science and Didactics","English"
"Graduate course for Teaching in Schools of the Arts, majoring in Music Creation",NA,"University College of Music Education in Stockholm","Huddinge","90 Credits","Educational, Educational Science and Didactics","English"
"International Master's Programme in Educational Research","Master","University of Gothenburg","Göteborg","120 Credits","Educational, Educational Science and Didactics","English"
"International Master's Programme in Educational Research","Master","University of Gothenburg","Göteborg","120 Credits","Educational, Educational Science and Didactics","English"
"International Master's Programme in Information Technology and Learning","Master","University of Gothenburg","Göteborg","120 Credits","Educational, Educational Science and Didactics","English"
"International Master's Programme in Information Technology and Learning","Master","University of Gothenburg","Göteborg","120 Credits","Educational, Educational Science and Didactics","English"
"LeaDS - Learning, Digitalization, and Sustainability (One Year)","Master","Jönköping University","Varied","60 Credits","Educational, Educational Science and Didactics","English"
"LeaDS - Learning, Digitalization, and Sustainability (Two Years)","Master","Jönköping University","Varied","120 Credits","Educational, Educational Science and Didactics","English"
"Lärande och Ledarskap, Msc Progr","Master","Chalmers University of Technology","Göteborg","120 Credits","Educational, Educational Science and Didactics","English"
"Master's Programme in Digital Learning","Master","Halmstad University","Halmstad","120 Credits","Educational, Educational Science and Didactics","English"
"Master's Programme in Education with International and Comparative specialisation","Master","Stockholm University","Stockholm","120 Credits","Educational, Educational Science and Didactics","English"
"Master's Programme in Education with International and Comparative specialisation","Master","Stockholm University","Stockholm","120 Credits","Educational, Educational Science and Didactics","English"
"Master's Programme in Implementation, Transformative Learning and Sustainability","Master","Uppsala University","Uppsala","120 Credits","Educational, Educational Science and Didactics","English"
"Master's Programme in Implementation, Transformative Learning and Sustainability","Master","Uppsala University","Uppsala","120 Credits","Educational, Educational Science and Didactics","English"
"Master's Programme in Sociology of Education","Master","Uppsala University","Uppsala","120 Credits","Educational, Educational Science and Didactics","English"
"Master's Programme in Transformative Game Design","Master","Uppsala University","Varied","60 Credits","Educational, Educational Science and Didactics","English"
"Outdoor and Sustainability Education, Master's Programme","Master","Linköping University","Linköping","60 Credits","Educational, Educational Science and Didactics","English"
"Sport Sciences: Sport in Society, Master's Programme (One-Year)","Master","Malmö University","Malmö","60 Credits","Educational, Educational Science and Didactics","English"
"Sport Sciences: Sport in Society, Master's Programme (One-Year)","Master","Malmö University","Malmö","60 Credits","Educational, Educational Science and Didactics","English"
"Sport Sciences: Sport in Society, Master's Programme (Two-Year)","Master","Malmö University","Malmö","120 Credits","Educational, Educational Science and Didactics","English"
"Sport Sciences: Sport in Society, Master's Programme (Two-Year)","Master","Malmö University","Malmö","120 Credits","Educational, Educational Science and Didactics","English"
"Teaching and Learning in Higher Education, Master's Programme (One -Year)","Master","Malmö University","Malmö","60 Credits","Educational, Educational Science and Didactics","English"
"Teaching and Learning in Higher Education, Master's Programme (One -Year)","Master","Malmö University","Malmö","60 Credits","Educational, Educational Science and Didactics","English"
"Teaching and Learning in Higher Education, Master's Programme (Two -Year)","Master","Malmö University","Malmö","120 Credits","Educational, Educational Science and Didactics","English"
"Teaching and Learning in Higher Education, Master's Programme (Two -Year)","Master","Malmö University","Malmö","120 Credits","Educational, Educational Science and Didactics","English"
"University Diploma in Music Education - Instrumental-/voice teacher","Master","University College of Music Education in Stockholm","Huddinge","120 Credits","Educational, Educational Science and Didactics","English"
"WorkS - Lifelong Learning, Sustainability and Work (One Year)","Master","Jönköping University","Jönköping","60 Credits","Educational, Educational Science and Didactics","English"
"WorkS - Lifelong Learning, Sustainability and Work (Two Year)","Master","Jönköping University","Jönköping","120 Credits","Educational, Educational Science and Didactics","English"
"Bachelor's Programme in Game Design and Programming","Bachelor","Uppsala University","Gotland","180 Credits","Journalism, Communication and Information","English"
"Communication for Development","Master","Malmö University","Varied","60 Credits","Journalism, Communication and Information","English"
"Communication for Development","Master","Malmö University","Varied","60 Credits","Journalism, Communication and Information","English"
"Culture and Change - Critical Studies in the Humanities, Master's Programme (Two-Year)","Master","Malmö University","Malmö","120 Credits","Journalism, Communication and Information","English"
"Culture and Change - Critical Studies in the Humanities, Master's Programme (Two-Year)","Master","Malmö University","Malmö","120 Credits","Journalism, Communication and Information","English"
"Digital Humanities, Master Programme","Master","Linnaeus University (Kalmar Växjö)","Varied","120 Credits","Journalism, Communication and Information","English"
"Environmental Communication and Management - Master's Programme","Master","Swedish University of Agricultural Sciences","Uppsala","120 Credits","Journalism, Communication and Information","English"
"Food and Landscape - Masters programme","Master","Swedish University of Agricultural Sciences","Lomma","120 Credits","Journalism, Communication and Information","English"
"International Master's Programme in Journalism","Master","Södertörn University","Huddinge","60 Credits","Journalism, Communication and Information","English"
"International Master's Programme in Journalism (INT)","Master","Södertörn University","Huddinge","60 Credits","Journalism, Communication and Information","English"
"Master in Communication","Master","University of Gothenburg","Göteborg","120 Credits","Journalism, Communication and Information","English"
"Master in Communication","Master","University of Gothenburg","Göteborg","120 Credits","Journalism, Communication and Information","English"
"Master of Science Programme in Media and Communication Studies","Master","Lund University","Lund","120 Credits","Journalism, Communication and Information","English"
