"Title","Subject","Degree","Institution","ECTS","Program_Link","Language"
"American Studies","Humanities, social sciences, communication and arts","Master (2 years) of Art in American Studies","University of Southern Denmark (SDU)",120,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/american-studies?filters=","English"
"Animal Science","Agriculture and environment
                Mathematics, natural- and computer science","Master (2 years) of Science in Animal Science","University of Copenhagen (UCPH)",120,"https://studyindenmark.dk/portal/university-of-copenhagen-ucph/frederiksberg-campus/animal-science?filters=","English"
"Anthropology","Humanities, social sciences, communication and arts","Master (2 years) of of Science in Anthropology","University of Copenhagen (UCPH)",120,"https://studyindenmark.dk/portal/university-of-copenhagen-ucph/city-campus/anthropology?filters=","English"
"Anthropology of Health","Health care, social services, and care services
                Humanities, social sciences, communication and arts","Master (2 years) of","University of Copenhagen (UCPH)",120,"https://studyindenmark.dk/portal/university-of-copenhagen-ucph/city-campus/anthropology-of-health?filters=","English"
"Applied Chemistry","Engineering","Master (2 years) of Science in Advanced and Applied Chemistry","Technical University of Denmark (DTU)",120,"https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus-10/applied-chemistry?filters=","English"
"Applied Composite Drone Manufacturing","Engineering
                Teacher's training","Summer School of Engineering","University of Southern Denmark (SDU)",5,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/applied-composite-drone-manufacturing?filters=","English"
"Applied Cultural Analysis","Humanities, social sciences, communication and arts
                Interdisciplinary Studies","Master (2 years) of Arts in Applied Cultural Analysis","University of Copenhagen (UCPH)",NA,"https://studyindenmark.dk/portal/university-of-copenhagen-ucph/south-campus/applied-cultural-analysis?filters=","English"
"Applied Economics and Finance (MSc)","Economics, commerce, management and accounting","Master (2 years) of Science in Economics and Finance","Copenhagen Business School (CBS)",120,"https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/applied-economics-and-finance-msc?filters=","English"
"Applied Industrial Electronics, BSc in Engineering","Engineering","Bachelor of Science in Engineering (Applied Industrial Electronics)","Aalborg University (AAU)",180,"https://studyindenmark.dk/portal/aalborg-university-aau/esbjerg/applied-industrial-electronics-bsc-in-engineering?filters=","English"
"Applied Mathematics","Mathematics, natural- and computer science","Master (2 years) of Science","University of Southern Denmark (SDU)",120,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/applied-mathematics?filters=","English"
"Architectural Engineering","Architecture, design and visual arts
                Engineering","Master (2 years) of Science in Engineering (Architectural Engineering)","Technical University of Denmark (DTU)",120,"https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus-10/architectural-engineering?filters=","English"
"Architectural Technology and Construction Management","Architecture, design and visual arts
                Economics, commerce, management and accounting
                Mathematics, natural- and computer science","Bachelor of Architectural Technology and Construction Management","VIA University College",210,"https://studyindenmark.dk/portal/via-university-college/campus-horsens/architectural-technology-and-construction?filters=","English"
"Architectural Technology and Construction Management","Architecture, design and visual arts
                Engineering
                Mathematics, natural- and computer science","Bachelor of Architectural Technology and Construction Management","KEA - Copenhagen School of Design and Technology",210,"https://studyindenmark.dk/portal/kea-copenhagen-school-of-design-and-technology/prinsesse-charlottes-gade/architectural-technology-and-construction?filters=","English"
"Architectural Technology and Construction Management (exchange programme)","Architecture, design and visual arts","Short-term programme of Architectural Technology and Construction Management","University College of Northern Denmark (UCN)",30,"https://studyindenmark.dk/portal/university-college-of-northern-denmark-ucn/ucn-technology/architectural-technology-and-construction?filters=","English"
"Architecture","Architecture, design and visual arts","Master (2 years) of Architecture, Design, Planning","Aarhus School of Architecture",120,"https://studyindenmark.dk/portal/aarhus-school-of-architecture/aarhus/architecture?filters=","English"
"Architecture and Extreme Environments","Architecture, design and visual arts","Master (2 years) of Architecture","Royal Danish Academy -  Architecture, Design and Conservation",120,"https://studyindenmark.dk/portal/royal-danish-academy-architecture-design-and/copenhagen/architecture-and-extreme-environments?filters=","English"
"Architecture, MSc in Engineering","Architecture, design and visual arts
                Engineering","Master (2 years) of Science in Engineering (Architecture)","Aalborg University (AAU)",120,"https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/architecture-msc-in-engineering?filters=","English"
"Arctic Studies, Specialisation of Culture, Communication and Globalisation","Humanities, social sciences, communication and arts
                Interdisciplinary Studies","Master (2 years) of Arts (MA) in Culture, Communication and Globalisation","Aalborg University (AAU)",NA,"https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/arctic-studies-specialisation-of-culture?filters=","English"
"Art - Advanced module","Humanities, social sciences, communication and arts","Master (2 years) of Visual Arts","Funen Art Academy",NA,"https://studyindenmark.dk/portal/funen-art-academy/odense/art-advanced-module?filters=","English"
"Art - Basic module","Humanities, social sciences, communication and arts","Bachelor of Visual Arts","Funen Art Academy",NA,"https://studyindenmark.dk/portal/funen-art-academy/odense/art-basic-module?filters=","English"
"Artificial Intelligence for Healthcare Data","Engineering","Summer School of Software Engineering","University of Southern Denmark (SDU)",5,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/artificial-intelligence-for-healthcare-data?filters=","English"
"AU Summer University","Agriculture and environment
                Economics, commerce, management and accounting
                Engineering
                Health care, social services, and care services
                Humanities, social sciences, communication and arts
                Interdisciplinary Studies
                Law, public administration, public order and safety
                Mathematics, natural- and computer science","Summer School of","Aarhus University (AU)",10,"https://studyindenmark.dk/portal/aarhus-university-au/aarhus/au-summer-university?filters=","English"
"Aural Training - Master","Humanities, social sciences, communication and arts","Master (2 years) of Aural Training","The Royal Danish Academy of Music",120,"https://studyindenmark.dk/portal/the-royal-danish-academy-of-music/study-programmes-within-music-and-music-pedagogy/aural-training-master?filters=","English"
"Autonomous Systems","Engineering","Master (2 years) of of Science in Autonomous Systems","Technical University of Denmark (DTU)",120,"https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus/autonomous-systems?filters=","English"
"Bachelor in Global Humanities","Humanities, social sciences, communication and arts
                Interdisciplinary Studies","Bachelor of Humanities","Roskilde University (RUC)",180,"https://studyindenmark.dk/portal/roskilde-university-ruc/roskilde/bachelor-in-global-humanities?filters=","English"
"Bachelor of Education (teacher) (exchange programme)","Teacher's training","Short-term programme of Education","University College of Northern Denmark (UCN)",30,"https://studyindenmark.dk/portal/university-college-of-northern-denmark-ucn/university-college-of-northern-denmark/bachelor-of-education-teacher-exchange-programme?filters=","English"
"Bachelor of Engineering in Biotechnology","Engineering
                Mathematics, natural- and computer science","Bachelor of Engineering","University College Absalon",210,"https://studyindenmark.dk/portal/university-college-absalon/kalundborg/bachelor-of-engineering-in-biotechnology?filters=","English"
"Behavior Change for a Sustainable Future","Humanities, social sciences, communication and arts","Summer School of Information and Communication","University of Southern Denmark (SDU)",5,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/sonderborg/behavior-change-for-a-sustainable-future?filters=","English"
"Biochemistry","Agriculture and environment
                Mathematics, natural- and computer science","Master (2 years) of of Science in Biochemistry","University of Copenhagen (UCPH)",120,"https://studyindenmark.dk/portal/university-of-copenhagen-ucph/north-campus/biochemistry?filters=","English"
"Bioengineering, MSc in Engineering","Agriculture and environment
                Engineering
                Mathematics, natural- and computer science","Master (2 years) of Master of Science (MSc) in Engineering (Bioengineering)","Aalborg University (AAU)",120,"https://studyindenmark.dk/portal/aalborg-university-aau/esbjerg/bioengineering-msc-in-engineering?filters=","English"
"Bioinformatics","Mathematics, natural- and computer science","Master (2 years) of Science in Bioinformatics","Aarhus University (AU)",120,"https://studyindenmark.dk/portal/aarhus-university-au/aarhus/bioinformatics?filters=","English"
"Bioinformatics","Agriculture and environment
                Mathematics, natural- and computer science","Master (2 years) of Science in Bioinformatics","University of Copenhagen (UCPH)",120,"https://studyindenmark.dk/portal/university-of-copenhagen-ucph/north-campus/bioinformatics?filters=","English"
"Bioinformatics and Systems Biology","Engineering
                Mathematics, natural- and computer science","Master (2 years) of Science in Bioinformatics and Systems Biology","Technical University of Denmark (DTU)",120,"https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus-10/bioinformatics-and-systems-biology?filters=","English"
"Biology","Mathematics, natural- and computer science","Master (2 years) of Science in Biology","Aarhus University (AU)",120,"https://studyindenmark.dk/portal/aarhus-university-au/aarhus/biology?filters=","English"
"Biology","Mathematics, natural- and computer science","Master (2 years) of Science in Marine, Environmental or Animal Sound Communication and Behaviour","University of Southern Denmark (SDU)",120,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/biology?filters=","English"
"Biology","Mathematics, natural- and computer science","Master (2 years) of Science in Biology","University of Copenhagen (UCPH)",120,"https://studyindenmark.dk/portal/university-of-copenhagen-ucph/north-campus/biology?filters=","English"
"Biology-Biotechnology","Mathematics, natural- and computer science","Master (2 years) of Science in Biology-Biotechnology","University of Copenhagen (UCPH)",120,"https://studyindenmark.dk/portal/university-of-copenhagen-ucph/north-campus/biology-biotechnology?filters=","English"
"Biomaterial Engineering for Medicine","Engineering
                Health care, social services, and care services","Master (2 years) of of Science in Biomaterial Engineering for Medicine","Technical University of Denmark (DTU)",120,"https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus/biomaterial-engineering-for-medicine?filters=","English"
"Biomedical Engineering","Engineering
                Health care, social services, and care services","Master (2 years) of Science in Biomedical Engineering","Technical University of Denmark (DTU)",120,"https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus-10/biomedical-engineering?filters=","English"
"Biotechnology","Engineering","Master (2 years) of of Science in Engineering (Biotechnology)","Technical University of Denmark (DTU)",120,"https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus-10/biotechnology?filters=","English"
"Biotechnology and Chemical Engineering","Engineering
                Mathematics, natural- and computer science","Master (2 years) of Science in Engineering (Chemistry and Biotechnology)","Aarhus University (AU)",120,"https://studyindenmark.dk/portal/aarhus-university-au/aarhus/biotechnology-and-chemical-engineering?filters=","English"
"Biotechnology, MSc in Engineering","Engineering
                Mathematics, natural- and computer science","Master (2 years) of Science in Engineering (Biotechnology)","Aalborg University (AAU)",120,"https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/biotechnology-msc-in-engineering?filters=","English"
"Brand Management and Marketing Communication","Economics, commerce, management and accounting
                Humanities, social sciences, communication and arts","Master (2 years) of Economics and Business Administration - Brand Management and Marketing Communication","University of Southern Denmark (SDU)",120,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/brand-management-and-marketing-communication?filters=","English"
"Branding and Marketing Management - Design, Technology & Business (AP degree)","Economics, commerce, management and accounting
                Humanities, social sciences, communication and arts","Academy Profession Degree of Design, Technology and Business","VIA University College",120,"https://studyindenmark.dk/portal/via-university-college/campus-herning/branding-and-marketing-management-design?filters=","English"
"Branding and Marketing Management - Design & Business (Top-up degree)","Economics, commerce, management and accounting
                Humanities, social sciences, communication and arts","Top-up degree of Design and Business","VIA University College",90,"https://studyindenmark.dk/portal/via-university-college/campus-herning/branding-and-marketing-management-design-business?filters=","English"
"Building Energy Design, MSc in Technology","Engineering
                Interdisciplinary Studies
                Mathematics, natural- and computer science","Master (2 years) of Science in Technology (Building Energy Design)","Aalborg University (AAU)",120,"https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/building-energy-design-msc-in-technology?filters=","English"
"Business Administration - Business Innovation","Economics, commerce, management and accounting","Master (2 years) of Business Administration - Business Innovation","Aarhus University (AU)",120,"https://studyindenmark.dk/portal/aarhus-university-au/aarhus/business-administration-business-innovation?filters=","English"
"Business Administration - Business Psychology","Economics, commerce, management and accounting
                Humanities, social sciences, communication and arts","Master (2 years) of Business Psychology","Aarhus University (AU)",120,"https://studyindenmark.dk/portal/aarhus-university-au/aarhus/business-administration-business-psychology?filters=","English"
"Business Administration and Data Science","Economics, commerce, management and accounting
                Interdisciplinary Studies
                Mathematics, natural- and computer science","Master (2 years) of Science in Business Administration and Data Science","Copenhagen Business School (CBS)",120,"https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/business-administration-and-data-science?filters=","English"
"Business Administration and Leadership","Economics, commerce, management and accounting
                Interdisciplinary Studies","Master (2 years) of Economics and Business Administration","Roskilde University (RUC)",NA,"https://studyindenmark.dk/portal/roskilde-university-ruc/roskilde/business-administration-and-leadership?filters=","English"
"Business Administration and Innovation in Health Care","Economics, commerce, management and accounting
                Health care, social services, and care services
                Interdisciplinary Studies","Master (2 years) of Science in Business Administration and Innovation in Health Care","Copenhagen Business School (CBS)",120,"https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/business-administration-and-innovation-in-health?filters=","English"
"Business Administration and Digital Business","Economics, commerce, management and accounting
                Mathematics, natural- and computer science","Master (2 years) of Science in Business Administration and Digital Business","Copenhagen Business School (CBS)",120,"https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/business-administration-and-digital-business?filters=","English"
"Business Administration and Sociology (BSc)","Economics, commerce, management and accounting
                Humanities, social sciences, communication and arts
                Interdisciplinary Studies","Bachelor of Science in Business Administration and Sociology","Copenhagen Business School (CBS)",180,"https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/business-administration-and-sociology-bsc?filters=","English"
"Business Administration and Digital Management (BSc)","Economics, commerce, management and accounting
                Humanities, social sciences, communication and arts
                Interdisciplinary Studies
                Mathematics, natural- and computer science","Bachelor of Science in Business Administration and Digital Management","Copenhagen Business School (CBS)",180,"https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/business-administration-and-digital-management-bsc?filters=","English"
"Business Administration and Service Management (BSc)","Economics, commerce, management and accounting
                Hotel, tourism, leisure, transport and logistics
                Humanities, social sciences, communication and arts","Bachelor of Science in Business Administration and Service Management","Copenhagen Business School (CBS)",NA,"https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/business-administration-and-service-management-bsc?filters=","English"
"Business Administration and Philosophy (MSc)","Economics, commerce, management and accounting
                Humanities, social sciences, communication and arts
                Interdisciplinary Studies","Master (2 years) of Science in Business Administration and Philosophy","Copenhagen Business School (CBS)",120,"https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/business-administration-and-philosophy-msc?filters=","English"
"Business Administration and Bioentrepreneurship (MSc)","Economics, commerce, management and accounting
                Interdisciplinary Studies
                Mathematics, natural- and computer science","Master (2 years) of Science in Business Administration and Bioentrepreneurship","Copenhagen Business School (CBS)",120,"https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/business-administration-and-bioentrepreneurship?filters=","English"
"Business Administration and Information Systems (MSc)","Economics, commerce, management and accounting
                Mathematics, natural- and computer science","Master (2 years) of Science in Business Administration and Information Systems","Copenhagen Business School (CBS)",120,"https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/business-administration-and-information-systems?filters=","English"
"Business Analytics","Engineering
                Mathematics, natural- and computer science","Master (2 years) of Science in Business Analytics (Engineering)","Technical University of Denmark (DTU)",120,"https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus/business-analytics?filters=","English"
"Business and Development Studies (MSc)","Economics, commerce, management and accounting
                Humanities, social sciences, communication and arts
                Interdisciplinary Studies","Master (2 years) of Science in Business, Language and Culture","Copenhagen Business School (CBS)",120,"https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/business-and-development-studies-msc?filters=","English"
"Business and Organisational Anthropology","Economics, commerce, management and accounting
                Humanities, social sciences, communication and arts
                Interdisciplinary Studies","Master (2 years) of","University of Copenhagen (UCPH)",120,"https://studyindenmark.dk/portal/university-of-copenhagen-ucph/city-campus/business-and-organisational-anthropology?filters=","English"
"Business Economics and IT","Economics, commerce, management and accounting
                Mathematics, natural- and computer science","Bachelor of Business Economics and IT","KEA - Copenhagen School of Design and Technology",210,"https://studyindenmark.dk/portal/kea-copenhagen-school-of-design-and-technology/guldbergsgade/business-economics-and-it?filters=","English"
"Business, Language and Culture (Sønderborg/Flensburg)","Economics, commerce, management and accounting
                Humanities, social sciences, communication and arts","Master (2 years) of Science in Business, Language and Culture","University of Southern Denmark (SDU)",120,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/sonderborg/business-language-and-culture-sonderborg-flensburg?filters=","English"
"Business, Language and Culture (negot)","Economics, commerce, management and accounting
                Humanities, social sciences, communication and arts","Master (2 years) of Art in Business, Language and Culture (negot)","University of Southern Denmark (SDU)",120,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/business-language-and-culture-negot?filters=","English"
"CBS Summer University","Economics, commerce, management and accounting
                Humanities, social sciences, communication and arts
                Interdisciplinary Studies
                Law, public administration, public order and safety","Summer School of","Copenhagen Business School (CBS)",NA,"https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/cbs-summer-university?filters=","English"
"Character Animation","Architecture, design and visual arts
                Humanities, social sciences, communication and arts
                Mathematics, natural- and computer science","Bachelor of Animation","VIA University College",210,"https://studyindenmark.dk/portal/via-university-college/campus-viborg/character-animation?filters=","English"
"Chemical and Biochemical Engineering","Engineering
                Mathematics, natural- and computer science","Master (2 years) of Science in Chemical and Biochemical Engineering","Technical University of Denmark (DTU)",120,"https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus-10/chemical-and-biochemical-engineering?filters=","English"
"Chemical Biology","Mathematics, natural- and computer science","Summer School of Chemistry","University of Southern Denmark (SDU)",5,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/chemical-biology?filters=","English"
"Chemical Biology","Agriculture and environment
                Interdisciplinary Studies
                Mathematics, natural- and computer science","Master (2 years) of biotechnology, chemistry, biology,","Roskilde University (RUC)",NA,"https://studyindenmark.dk/portal/roskilde-university-ruc/roskilde/chemical-biology?filters=","English"
"Chemical Engineering and Biotechnology (MSc)","Engineering
                Mathematics, natural- and computer science","Master (2 years) of Science in Engineering","University of Southern Denmark (SDU)",120,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/chemical-engineering-and-biotechnology-msc?filters=","English"
"Chemical Engineering and Biotechnology, BSc in Engineering","Engineering
                Mathematics, natural- and computer science","Bachelor of Science in Engineering (Chemical Engineering and Biotechnology)","Aalborg University (AAU)",180,"https://studyindenmark.dk/portal/aalborg-university-aau/esbjerg/chemical-engineering-and-biotechnology-bsc-in?filters=","English"
"Chemical Engineering, MSc in Engineering","Engineering
                Mathematics, natural- and computer science","Master (2 years) of Science in Engineering (Chemistry)","Aalborg University (AAU)",120,"https://studyindenmark.dk/portal/aalborg-university-aau/esbjerg/chemical-engineering-msc-in-engineering?filters=","English"
"Chemistry","Mathematics, natural- and computer science","Master (2 years) of Science","University of Southern Denmark (SDU)",120,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/chemistry?filters=","English"
"Chemistry","Mathematics, natural- and computer science","Master (2 years) of Chemistry","Aarhus University (AU)",120,"https://studyindenmark.dk/portal/aarhus-university-au/aarhus/chemistry?filters=","English"
"Chemistry","Agriculture and environment
                Mathematics, natural- and computer science","Master (2 years) of Science in Chemistry","University of Copenhagen (UCPH)",120,"https://studyindenmark.dk/portal/university-of-copenhagen-ucph/north-campus/chemistry?filters=","English"
"Chemistry, MSc in Engineering","Agriculture and environment
                Mathematics, natural- and computer science","Master (2 years) of Science in Engineering (Chemistry)","Aalborg University (AAU)",120,"https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/chemistry-msc-in-engineering?filters=","English"
"Children's Literature, Media & Cultural Entrepreneurship (Erasmus Mundus)","Humanities, social sciences, communication and arts","Master (2 years) of Arts in Children's Literature, Media & Cultural Entrepreneurship","Aarhus University (AU)",120,"https://studyindenmark.dk/portal/aarhus-university-au/aarhus/children-s-literature-media-cultural?filters=","English"
"Church Music/ Organ - Bachelor","Music and performing arts","Bachelor of Church Music/ Organ","The Royal Danish Academy of Music",180,"https://studyindenmark.dk/portal/the-royal-danish-academy-of-music/study-programmes-within-music-and-music-pedagogy/church-music-organ-bachelor?filters=","English"
"Church Music/ Organ - Master","Music and performing arts","Master (2 years) of Church Music/ Organ","The Royal Danish Academy of Music",120,"https://studyindenmark.dk/portal/the-royal-danish-academy-of-music/study-programmes-within-music-and-music-pedagogy/church-music-organ-master?filters=","English"
"Circular Economy for Business and Engineers with SDG Focus","Engineering","Summer School of Engineering","University of Southern Denmark (SDU)",5,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/circular-economy-for-business-and-engineers-with?filters=","English"
"Cities and Climate Change","Engineering","Summer School of Engineering","University of Southern Denmark (SDU)",5,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/cities-and-climate-change?filters=","English"
"Cities and Sustainability, Specialisation of Urban, Energy and Environmental Planning","Agriculture and environment
                Engineering
                Interdisciplinary Studies
                Mathematics, natural- and computer science","Master (2 years) of Science (MSc) in Engineering (Urban, Energy and Environmental Planning with specialisation in Cities and Sustainability)","Aalborg University (AAU)",120,"https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/cities-and-sustainability-specialisation-of-urban?filters=","English"
"Civil and Architectural Engineering","Engineering
                Mathematics, natural- and computer science","Master (2 years) of Science in Engineering (Civil and Architectural Engineering)","Aarhus University (AU)",120,"https://studyindenmark.dk/portal/aarhus-university-au/aarhus/civil-and-architectural-engineering?filters=","English"
"Civil Engineering","Engineering","Master (2 years) of Science in Civil Engineering","Technical University of Denmark (DTU)",120,"https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus-10/civil-engineering?filters=","English"
"Classical Music","Music and performing arts","Master (2 years) of Music (MMus)","The Royal Academy of Music - Aarhus/Aalborg",120,"https://studyindenmark.dk/portal/the-royal-academy-of-music-aarhus-aalborg/aarhus-departement/classical-music?filters=","English"
"Classical Musician - Performer, chamber- and orchestra Musician","Music and performing arts","Advanced Postgraduate Diploma of","Danish National Academy of Music",120,"https://studyindenmark.dk/portal/danish-national-academy-of-music/odense/classical-musician-performer-chamber-and-orchestra-34314?filters=","English"
"Classical Musician - Performer, chamber- and orchestra Musician","Music and performing arts","Master (2 years) of","Danish National Academy of Music",120,"https://studyindenmark.dk/portal/danish-national-academy-of-music/odense/classical-musician-performer-chamber-and-orchestra-34306?filters=","English"
"Classical Musician - Performer, chamber- and orchestra Musician","Music and performing arts","Bachelor of","Danish National Academy of Music",180,"https://studyindenmark.dk/portal/danish-national-academy-of-music/odense/classical-musician-performer-chamber-and-orchestra?filters=","English"
"Classical Musician - Performer, educator and entrepreneur","Music and performing arts","Bachelor of Performer, educator and entrepreneur","Danish National Academy of Music",180,"https://studyindenmark.dk/portal/danish-national-academy-of-music/esbjerg/classical-musician-performer-educator-and-33795?filters=","English"
"Classical Musician - Performer, educator and entrepreneur","Music and performing arts","Master (2 years) of","Danish National Academy of Music",120,"https://studyindenmark.dk/portal/danish-national-academy-of-music/esbjerg/classical-musician-performer-educator-and?filters=","English"
"Climate & Supply Engineering","Agriculture and environment
                Engineering
                Mathematics, natural- and computer science","Bachelor of Engineering in Climate and Supply Engineering","VIA University College",210,"https://studyindenmark.dk/portal/via-university-college/campus-horsens/climate-supply-engineering?filters=","English"
"Climate Change","Agriculture and environment
                Mathematics, natural- and computer science","Master (2 years) of Science in Climate Change","University of Copenhagen (UCPH)",120,"https://studyindenmark.dk/portal/university-of-copenhagen-ucph/north-campus/climate-change?filters=","English"
"Cognition and Communication","Humanities, social sciences, communication and arts","Master (2 years) of Arts in Cognition and Communication","University of Copenhagen (UCPH)",120,"https://studyindenmark.dk/portal/university-of-copenhagen-ucph/south-campus/cognition-and-communication?filters=","English"
"Cognitive Science","Humanities, social sciences, communication and arts
                Interdisciplinary Studies","Master (2 years) of Master in Cognitive Science","Aarhus University (AU)",120,"https://studyindenmark.dk/portal/aarhus-university-au/aarhus/cognitive-science-36128?filters=","English"
"Cognitive Science","Humanities, social sciences, communication and arts
                Interdisciplinary Studies","Bachelor of Cognitive Science","Aarhus University (AU)",180,"https://studyindenmark.dk/portal/aarhus-university-au/aarhus/cognitive-science?filters=","English"
"Comic Creation","Architecture, design and visual arts
                Humanities, social sciences, communication and arts","Summer School of Comic drawing summer school","VIA University College",10,"https://studyindenmark.dk/portal/via-university-college/campus-viborg/comic-creation?filters=","English"
"Communication Technologies and System Design (Telecommunication)","Engineering","Master (2 years) of Science in Communication Technologies and System Design","Technical University of Denmark (DTU)",120,"https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus-10/communication-technologies-and-system-design?filters=","English"
"Comparative Public Policy and Welfare Studies","Humanities, social sciences, communication and arts
                Law, public administration, public order and safety","Master (2 years) of Social Sciences - Comparative Public Policy and Welfare Studies","University of Southern Denmark (SDU)",120,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/comparative-public-policy-and-welfare-studies?filters=","English"
