"Program_Title","Institution","Level","Link","Language","Country","ECTS","Free_Tuition_EU","latitude","longitude"
"Screenplay Writing and Dramaturgy","Universität für Musik und darstellende Kunst Wien","Master","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/film-and-television/141-screenplay-writing-and-dramaturgy-12-3-wien.en.html","German","Austria",NA,"Yes",48.296847,14.31715
"Stage Design / Scenography","Akademie der bildenden Künste Wien","Master","https://www.studienwahl.at/studies/art-studies/fine-arts-and-applied-arts/stage-design/143-stage-design-scenography-3-3-wien.en.html","German","Austria",NA,"Yes",53.608827,10.009959
"Stage Design","Universität für angewandte Kunst Wien","Master","https://www.studienwahl.at/studies/art-studies/fine-arts-and-applied-arts/stage-design/144-stage-design-3-3-wien.en.html","German","Austria",NA,"Yes",41.997064,21.403741
"Stage Design","Universität Mozarteum Salzburg","Master","https://www.studienwahl.at/studies/art-studies/fine-arts-and-applied-arts/stage-design/145-stage-design-3-3-salzburg.en.html","German","Austria",NA,"Yes",41.795976,12.254124
"Stage Design","Universität für Musik und darstellende Kunst Graz","Master","https://www.studienwahl.at/studies/art-studies/fine-arts-and-applied-arts/stage-design/146-stage-design-3-3-graz.en.html","German","Austria",NA,"Yes",48.296847,14.31715
"Harpsichord","Universität Mozarteum Salzburg","Bachelor","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/keyboard-instruments/151-harpsichord-2-3-salzburg.en.html","German","Austria",180,"Yes",41.795976,12.254124
"Harpsichord","Universität Mozarteum Salzburg","Master","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/keyboard-instruments/152-harpsichord-12-3-salzburg.en.html","German","Austria",NA,"Yes",41.795976,12.254124
"Performing Arts","Universität für Musik und darstellende Kunst Graz","Master","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/performing-arts/178-performing-arts-3-3-graz.en.html","German","Austria",NA,"Yes",48.296847,14.31715
"Artistic Research","Universität für Musik und darstellende Kunst Graz","PhD","https://www.studienwahl.at/studies/art-studies/doctoral-programmes/191-artistic-research-4-3-graz.en.html","German","Austria",NA,"Yes",48.296847,14.31715
"Natural Sciences","Universität für angewandte Kunst Wien","PhD","https://www.studienwahl.at/studies/art-studies/200-natural-sciences-4-3-wien.en.html","German","Austria",NA,"Yes",41.997064,21.403741
"Natural Sciences","Akademie der bildenden Künste Wien","PhD","https://www.studienwahl.at/studies/art-studies/201-natural-sciences-4-3-wien.en.html","German","Austria",NA,"Yes",53.608827,10.009959
"Philosophy","Universität für angewandte Kunst Wien","PhD","https://www.studienwahl.at/studies/art-studies/doctoral-programmes/222-philosophy-4-3-wien.en.html","German","Austria",NA,"Yes",41.997064,21.403741
"Digital Art – Compositing","Universität für Musik und darstellende Kunst Wien","Master","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/film-and-television/266-digital-art-compositing-12-3-wien.en.html","German","Austria",NA,"Yes",48.296847,14.31715
"Conducting","Universität für Musik und darstellende Kunst Graz","Bachelor","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/conducting/267-conducting-2-3-graz.en.html","German","Austria",180,"Yes",48.296847,14.31715
"Conducting","Universität für Musik und darstellende Kunst Graz","Master","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/conducting/268-conducting-12-3-graz.en.html","German","Austria",NA,"Yes",48.296847,14.31715
"Philosophy","Universität für Musik und darstellende Kunst Wien","PhD","https://www.studienwahl.at/studies/art-studies/phd/274-philosophy-4-3-wien.en.html","German","Austria",NA,"Yes",48.296847,14.31715
"Philosophy","Universität Mozarteum Salzburg","PhD","https://www.studienwahl.at/studies/art-studies/phd/275-philosophy-4-3-salzburg.en.html","German","Austria",NA,"Yes",41.795976,12.254124
"Scholarly Doctoral Programme","Universität für Musik und darstellende Kunst Graz","PhD","https://www.studienwahl.at/studies/art-studies/phd/276-scholarly-doctoral-programme-4-3-graz.en.html","German","Austria",NA,"Yes",48.296847,14.31715
"Philosophy","Kunstuniversität Linz","PhD","https://www.studienwahl.at/studies/art-studies/phd/277-philosophy-4-3-linz.en.html","German","Austria",NA,"Yes",41.416287,33.783438
"Electrical Engineering and Audio Engineering","Technische Universität Graz","Bachelor","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/electrical-engineering-sound-engineering/306-electrical-engineering-and-audio-engineering-2-3-graz.en.html","German","Austria",180,"Yes",51.039135,13.737675
"Electrical Engineering and Audio Engineering","Technische Universität Graz","Master","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/electrical-engineering-sound-engineering/307-electrical-engineering-and-audio-engineering-12-3-graz.en.html","German","Austria",NA,"Yes",51.039135,13.737675
"Elementary Music and Movement Education","Universität Mozarteum Salzburg","Master","https://www.studienwahl.at/studies/teacher-training-programmes/teacher-training-arts/music-and-movement-education/310-elementary-music-and-movement-education-12-3-salzburg.en.html","German","Austria",NA,"Yes",41.795976,12.254124
"Elementary Music and Dance Education","Universität Mozarteum Salzburg","Bachelor","https://www.studienwahl.at/studies/teacher-training-programmes/teacher-training-arts/music-and-movement-education/311-elementary-music-and-dance-education-2-3-salzburg.en.html","German","Austria",180,"Yes",41.795976,12.254124
"Elementary Music and Dance Education","Universität Mozarteum Salzburg","Master","https://www.studienwahl.at/studies/teacher-training-programmes/teacher-training-arts/music-and-movement-education/312-elementary-music-and-dance-education-12-3-salzburg.en.html","German","Austria",NA,"Yes",41.795976,12.254124
"Bassoon","Universität Mozarteum Salzburg","Bachelor","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/wind-instruments-and-percussion/355-bassoon-2-3-salzburg.en.html","German","Austria",180,"Yes",41.795976,12.254124
"Bassoon","Universität Mozarteum Salzburg","Master","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/wind-instruments-and-percussion/356-bassoon-12-3-salzburg.en.html","German","Austria",NA,"Yes",41.795976,12.254124
"Voice","Universität für Musik und darstellende Kunst Wien","Bachelor","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/voice/416-voice-2-3-wien.en.html","German","Austria",180,"Yes",48.296847,14.31715
"Voice","Universität Mozarteum Salzburg","Bachelor","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/voice/417-voice-2-3-salzburg.en.html","German","Austria",180,"Yes",41.795976,12.254124
"Voice","Universität Mozarteum Salzburg","Master","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/voice/418-voice-12-3-salzburg.en.html","German","Austria",NA,"Yes",41.795976,12.254124
"Voice","Universität für Musik und darstellende Kunst Graz","Bachelor","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/voice/419-voice-2-3-graz.en.html","German","Austria",180,"Yes",48.296847,14.31715
"Voice","Universität für Musik und darstellende Kunst Graz","Master","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/voice/420-voice-12-3-graz.en.html","German","Austria",NA,"Yes",48.296847,14.31715
"Guitar","Universität Mozarteum Salzburg","Bachelor","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/string-instruments/441-guitar-2-3-salzburg.en.html","German","Austria",180,"Yes",41.795976,12.254124
"Guitar","Universität Mozarteum Salzburg","Master","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/string-instruments/442-guitar-12-3-salzburg.en.html","German","Austria",NA,"Yes",41.795976,12.254124
"Graphic Design and Photography","Kunstuniversität Linz","Bachelor","https://www.studienwahl.at/studies/art-studies/fine-arts-and-applied-arts/media-design/447-graphic-design-and-photography-2-3-linz.en.html","German","Austria",180,"Yes",41.416287,33.783438
"Harp","Universität Mozarteum Salzburg","Bachelor","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/string-instruments/454-harp-2-3-salzburg.en.html","German","Austria",180,"Yes",41.795976,12.254124
"Harp","Universität Mozarteum Salzburg","Master","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/string-instruments/455-harp-12-3-salzburg.en.html","German","Austria",NA,"Yes",41.795976,12.254124
"Horn","Universität Mozarteum Salzburg","Bachelor","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/wind-instruments-and-percussion/462-horn-2-3-salzburg.en.html","German","Austria",180,"Yes",41.795976,12.254124
"Horn","Universität Mozarteum Salzburg","Master","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/wind-instruments-and-percussion/463-horn-12-3-salzburg.en.html","German","Austria",NA,"Yes",41.795976,12.254124
"Technical Sciences","Akademie der bildenden Künste Wien","PhD","https://www.studienwahl.at/studies/art-studies/doctoral-programmes/480-technical-sciences-4-3-wien.en.html","German","Austria",NA,"Yes",53.608827,10.009959
"Advanced Materials Science","Technische Universität Graz","Master","https://www.studienwahl.at/studies/natural-sciences/chemistrybiology-studies/materials-sciences/2-advanced-materials-science-12-3-graz.en.html","German","Austria",NA,"Yes",51.039135,13.737675
"Agricultural and Food Economy","Universität für Bodenkultur Wien","Master","https://www.studienwahl.at/studies/engineering-sciences/agriculture/agriculture/5-agricultural-and-food-economy-12-3-wien.en.html","German","Austria",NA,"Yes",49.00675,8.393843
"Agricultural Sciences","Universität für Bodenkultur Wien","Bachelor","https://www.studienwahl.at/studies/engineering-sciences/agriculture/agriculture/6-agricultural-sciences-2-3-wien.en.html","German","Austria",180,"Yes",49.00675,8.393843
"Alpine Natural Hazards / Watershed Regulation","Universität für Bodenkultur Wien","Master","https://www.studienwahl.at/studies/engineering-sciences/agriculture/land-and-water-management/15-alpine-natural-hazards-watershed-regulation-12-3-wien.en.html","German","Austria",NA,"Yes",49.00675,8.393843
"Applied Geosciences","Montanuniversität Leoben","Bachelor","https://www.studienwahl.at/studies/engineering-sciences/mining-sciences/applied-geosciences/33-applied-geosciences-2-3-leoben.en.html","German","Austria",180,"Yes",49.213642,16.622247
"Applied Geosciences","Montanuniversität Leoben","Master","https://www.studienwahl.at/studies/engineering-sciences/mining-sciences/applied-geosciences/34-applied-geosciences-e-12-3-leoben.en.html","English","Austria",NA,"Yes",49.213642,16.622247
"Informatics","Universität Salzburg","Bachelor","https://www.studienwahl.at/studies/engineering-sciences/computer-sciences/computer-sciences/35-informatics-2-3-salzburg.en.html","German","Austria",180,"Yes",47.805139,13.038069
"Informatics","Universität Salzburg","Master","https://www.studienwahl.at/studies/engineering-sciences/computer-sciences/computer-sciences/36-informatics-12-3-salzburg.en.html","German","Austria",NA,"Yes",47.805139,13.038069
"Agricultural Crop Sciences","Universität für Bodenkultur Wien","Master","https://www.studienwahl.at/studies/engineering-sciences/agriculture/agriculture/44-agricultural-crop-sciences-12-3-wien.en.html","German","Austria",NA,"Yes",49.00675,8.393843
"Architecture","Universität Innsbruck","Bachelor","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/60-architecture-2-3-innsbruck.en.html","German","Austria",180,"Yes",47.269258,11.404079
"Architecture","Universität Innsbruck","Master","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/61-architecture-12-3-innsbruck.en.html","German","Austria",NA,"Yes",47.269258,11.404079
"Architecture","Technische Universität Wien","Bachelor","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/62-architecture-2-3-wien.en.html","German","Austria",180,"Yes",51.039135,13.737675
"Architecture","Technische Universität Wien","Master","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/63-architecture-12-3-wien.en.html","German","Austria",NA,"Yes",51.039135,13.737675
"Architecture","Technische Universität Graz","Bachelor","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/64-architecture-2-3-graz.en.html","German","Austria",180,"Yes",51.039135,13.737675
"Architecture","Technische Universität Graz","Master","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/65-architecture-12-3-graz.en.html","German","Austria",NA,"Yes",51.039135,13.737675
"Architecture","Akademie der bildenden Künste Wien","Bachelor","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/66-architecture-2-3-wien.en.html","German","Austria",180,"Yes",53.608827,10.009959
"Architecture","Akademie der bildenden Künste Wien","Master","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/67-architecture-12-3-wien.en.html","German","Austria",NA,"Yes",53.608827,10.009959
"Architecture","Universität für angewandte Kunst Wien","Master","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/68-architecture-e-12-3-wien.en.html","English","Austria",NA,"Yes",41.997064,21.403741
"Architecture","Kunstuniversität Linz","Bachelor","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/69-architecture-2-3-linz.en.html","German","Austria",180,"Yes",41.416287,33.783438
"Architecture","Kunstuniversität Linz","Master","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/70-architecture-12-3-linz.en.html","German","Austria",NA,"Yes",41.416287,33.783438
"Civil and Environmental Engineering","Universität Innsbruck","Bachelor","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/civil-engineering/82-civil-and-environmental-engineering-2-3-innsbruck.en.html","German","Austria",180,"Yes",47.269258,11.404079
"Civil Engineering","Universität Innsbruck","Master","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/civil-engineering/83-civil-engineering-12-3-innsbruck.en.html","German","Austria",NA,"Yes",47.269258,11.404079
"Civil Engineering","Technische Universität Wien","Master","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/civil-engineering/86-civil-engineering-12-3-wien.en.html","German","Austria",NA,"Yes",51.039135,13.737675
"Civil Engineering","Technische Universität Wien","Bachelor","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/civil-engineering/87-civil-engineering-2-3-wien.en.html","German","Austria",180,"Yes",51.039135,13.737675
"Geotechnical and Hydraulic Engineering","Technische Universität Graz","Master","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/civil-engineering/88-geotechnical-and-hydraulic-engineering-e-12-3-graz.en.html","English","Austria",NA,"Yes",51.039135,13.737675
"Civil Engineering Sciences and Structural Engineering","Technische Universität Graz","Master","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/civil-engineering/89-civil-engineering-sciences-and-structural-engineering-12-3-graz.en.html","German","Austria",NA,"Yes",51.039135,13.737675
"Civil Engineering Sciences – Infrastructure","Technische Universität Graz","Master","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/civil-engineering/90-civil-engineering-sciences-infrastructure-12-3-graz.en.html","German","Austria",NA,"Yes",51.039135,13.737675
"Civil Engineering and Construction Management","Technische Universität Graz","Bachelor","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/civil-engineering/91-civil-engineering-and-construction-management-2-3-graz.en.html","German","Austria",180,"Yes",51.039135,13.737675
"Artificial Intelligence","Universität Linz","Master","https://www.studienwahl.at/studies/engineering-sciences/108-artificial-intelligence-e-12-3-linz.en.html","English","Austria",NA,"Yes",48.341662,14.284451
"Biomedical Engineering","Technische Universität Graz","Bachelor","https://www.studienwahl.at/studies/medicinehealth/biomedicine/biomedical-engineering/120-biomedical-engineering-2-3-graz.en.html","German","Austria",180,"Yes",51.039135,13.737675
"Biomedical Engineering","Technische Universität Graz","Master","https://www.studienwahl.at/studies/medicinehealth/biomedicine/biomedical-engineering/121-biomedical-engineering-e-12-3-graz.en.html","English","Austria",NA,"Yes",51.039135,13.737675
"Biomolecular Technology of Proteins","Universität für Bodenkultur Wien","PhD","https://www.studienwahl.at/studies/engineering-sciences/phd/124-biomolecular-technology-of-proteins-4-3-wien.en.html","German","Austria",NA,"Yes",49.00675,8.393843
"Biophysics","Universität Linz","Master","https://www.studienwahl.at/studies/engineering-sciences/biotechnology/125-biophysics-e-12-3-linz.en.html","English","Austria",NA,"Yes",48.341662,14.284451
"Biotechnology","Technische Universität Graz","Master","https://www.studienwahl.at/studies/medicinehealth/biomedicine/biotechnology-and-bioprocess-engineering/126-biotechnology-e-12-3-graz.en.html","English","Austria",NA,"Yes",51.039135,13.737675
"Biotechnology","Universität für Bodenkultur Wien","Master","https://www.studienwahl.at/studies/natural-sciences/biotechnology/food-science-and-biotechnology/128-biotechnology-e-12-3-wien.en.html","English","Austria",NA,"Yes",49.00675,8.393843
"Building Science and Environment","Technische Universität Wien","Master","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/147-building-science-and-environment-e-12-3-wien.en.html","English","Austria",NA,"Yes",51.039135,13.737675
"Chemical and Pharmaceutical Engineering","Technische Universität Graz","Master","https://www.studienwahl.at/studies/natural-sciences/153-chemical-and-pharmaceutical-engineering-e-12-3-graz.en.html","English","Austria",NA,"Yes",51.039135,13.737675
"Logic and Computation","Technische Universität Wien","Master","https://www.studienwahl.at/studies/engineering-sciences/computer-sciences/computer-sciences/169-logic-and-computation-e-12-3-wien.en.html","English","Austria",NA,"Yes",51.039135,13.737675
"Visual Computing","Technische Universität Wien","Master","https://www.studienwahl.at/studies/engineering-sciences/technology/computer-sciences/172-visual-computing-12-3-wien.en.html","German","Austria",NA,"Yes",51.039135,13.737675
"Computer Mathematics","Universität Linz","Master","https://www.studienwahl.at/studies/natural-sciences/mathematicsphysics-studies/technical-mathematics/173-computer-mathematics-e-12-3-linz.en.html","English","Austria",NA,"Yes",48.341662,14.284451
"Embedded Systems","Technische Universität Wien","Master","https://www.studienwahl.at/studies/engineering-sciences/technology/electrical-engineering/174-embedded-systems-12-3-wien.en.html","German","Austria",NA,"Yes",51.039135,13.737675
"Natural Resources and Life Sciences","Universität für Bodenkultur Wien","PhD","https://www.studienwahl.at/studies/engineering-sciences/doctoral-programmes/181-natural-resources-and-life-sciences-4-3-wien.en.html","German","Austria",NA,"Yes",49.00675,8.393843
"Computer Sciences","Universität Innsbruck","PhD","https://www.studienwahl.at/studies/engineering-sciences/phd/185-computer-sciences-4-3-innsbruck.en.html","German","Austria",NA,"Yes",47.269258,11.404079
"Mining Sciences","Montanuniversität Leoben","PhD","https://www.studienwahl.at/studies/engineering-sciences/doctoral-programmes/194-mining-sciences-4-3-leoben.en.html","German","Austria",NA,"Yes",49.213642,16.622247
"Natural Sciences","Universität Linz","PhD","https://www.studienwahl.at/studies/engineering-sciences/doctoral-programmes/199-natural-sciences-4-3-linz.en.html","German","Austria",NA,"Yes",48.341662,14.284451
"Natural Sciences in the Field of Life Sciences","Universität Wien","PhD","https://www.studienwahl.at/studies/engineering-sciences/phd/214-natural-sciences-in-the-field-of-life-sciences-4-3-wien.en.html","German","Austria",NA,"Yes",52.23877,6.850542
"Engineering Sciences","Universität Innsbruck","PhD","https://www.studienwahl.at/studies/engineering-sciences/doctoral-programmes/241-engineering-sciences-4-3-innsbruck.en.html","German","Austria",NA,"Yes",47.269258,11.404079
"Engineering Sciences","Technische Universität Wien","PhD","https://www.studienwahl.at/studies/engineering-sciences/doctoral-programmes/242-engineering-sciences-4-3-wien.en.html","German","Austria",NA,"Yes",51.039135,13.737675
"Technical Sciences","Technische Universität Graz","PhD","https://www.studienwahl.at/studies/engineering-sciences/doctoral-programmes/243-technical-sciences-4-3-graz.en.html","German","Austria",NA,"Yes",51.039135,13.737675
"Engineering Sciences","Universität Linz","PhD","https://www.studienwahl.at/studies/engineering-sciences/doctoral-programmes/244-engineering-sciences-4-3-linz.en.html","German","Austria",NA,"Yes",48.341662,14.284451
"Technology","Universität Klagenfurt","PhD","https://www.studienwahl.at/studies/engineering-sciences/doctoral-programmes/245-technology-4-3-klagenfurt.en.html","German","Austria",NA,"Yes",46.644509,14.32712
"Engineering Sciences","Universität für angewandte Kunst Wien","PhD","https://www.studienwahl.at/studies/engineering-sciences/doctoral-programmes/247-engineering-sciences-4-3-wien.en.html","German","Austria",NA,"Yes",41.997064,21.403741
"Philosophy","Kunstuniversität Linz","PhD","https://www.studienwahl.at/studies/art-studies/phd/277-philosophy-4-3-linz.en.html","German","Austria",NA,"Yes",41.416287,33.783438
"Electrical Engineering","Technische Universität Graz","Bachelor","https://www.studienwahl.at/studies/engineering-sciences/technology/electrical-engineering/304-electrical-engineering-2-3-graz.en.html","German","Austria",180,"Yes",51.039135,13.737675
"Electrical Engineering","Technische Universität Graz","Master","https://www.studienwahl.at/studies/engineering-sciences/technology/electrical-engineering/305-electrical-engineering-12-3-graz.en.html","German","Austria",NA,"Yes",51.039135,13.737675
"Electrical Engineering and Audio Engineering","Technische Universität Graz","Bachelor","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/electrical-engineering-sound-engineering/306-electrical-engineering-and-audio-engineering-2-3-graz.en.html","German","Austria",180,"Yes",51.039135,13.737675
"Electrical Engineering and Audio Engineering","Technische Universität Graz","Master","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/electrical-engineering-sound-engineering/307-electrical-engineering-and-audio-engineering-12-3-graz.en.html","German","Austria",NA,"Yes",51.039135,13.737675
"Electrical Engineering and Business","Technische Universität Graz","Master","https://www.studienwahl.at/studies/engineering-sciences/technology/electrical-engineering/308-electrical-engineering-and-business-12-3-graz.en.html","German","Austria",NA,"Yes",51.039135,13.737675
"Electrical Engineering and Information Technology","Technische Universität Wien","Bachelor","https://www.studienwahl.at/studies/engineering-sciences/information/electrical-engineering/309-electrical-engineering-and-information-technology-2-3-wien.en.html","German","Austria",180,"Yes",51.039135,13.737675
"Automation and Robotic Systems","Technische Universität Wien","Master","https://www.studienwahl.at/studies/engineering-sciences/technology/electrical-engineering/313-automation-and-robotic-systems-12-3-wien.en.html","German","Austria",NA,"Yes",51.039135,13.737675
"International Master in Soils and Global Change (IMSOGLO)","Universität für Bodenkultur Wien","Master","https://www.studienwahl.at/studies/engineering-sciences/agriculture/forestry-and-wood-science/321-international-master-in-soils-and-global-change-imsoglo-12-3-wien.en.html","German","Austria",NA,"Yes",49.00675,8.393843
"Environmental Sciences – Soil, Water and Biodiversity, ENVEURO","Universität für Bodenkultur Wien","Master","https://www.studienwahl.at/studies/engineering-sciences/agriculture/land-and-water-management/323-environmental-sciences-soil-water-and-biodiversity-enveuro-e-12-3-wien.en.html","English","Austria",NA,"Yes",49.00675,8.393843
"DDP MSc European Forestry","Universität für Bodenkultur Wien","Master","https://www.studienwahl.at/studies/engineering-sciences/agriculture/forestry-and-wood-science/343-ddp-msc-european-forestry-e-12-3-wien.en.html","English","Austria",NA,"Yes",49.00675,8.393843
"European Master in Animal Breeding and Genetics","Universität für Bodenkultur Wien","Master","https://www.studienwahl.at/studies/engineering-sciences/agriculture/agriculture/344-european-master-in-animal-breeding-and-genetics-e-12-3-wien.en.html","English","Austria",NA,"Yes",49.00675,8.393843
"Financial and Actuarial Mathematics","Technische Universität Wien","Master","https://www.studienwahl.at/studies/natural-sciences/mathematicsphysics-studies/technical-mathematics/361-financial-and-actuarial-mathematics-12-3-wien.en.html","German","Austria",NA,"Yes",51.039135,13.737675
"Financial and Actuarial Mathematics","Technische Universität Wien","Bachelor","https://www.studienwahl.at/studies/natural-sciences/mathematicsphysics-studies/technical-mathematics/362-financial-and-actuarial-mathematics-2-3-wien.en.html","German","Austria",180,"Yes",51.039135,13.737675
"Forestry","Universität für Bodenkultur Wien","Bachelor","https://www.studienwahl.at/studies/engineering-sciences/agriculture/forestry-and-wood-science/367-forestry-2-3-wien.en.html","German","Austria",180,"Yes",49.00675,8.393843
"Forestry Sciences","Universität für Bodenkultur Wien","Master","https://www.studienwahl.at/studies/engineering-sciences/agriculture/forestry-and-wood-science/368-forestry-sciences-12-3-wien.en.html","German","Austria",NA,"Yes",49.00675,8.393843
"Geodesy and Geoinformation","Technische Universität Wien","Bachelor","https://www.studienwahl.at/studies/natural-sciences/geosciences-studies/surveying-and-geoinformation/386-geodesy-and-geoinformation-2-3-wien.en.html","German","Austria",180,"Yes",51.039135,13.737675
"Geodesy and Geoinformation","Technische Universität Wien","Master","https://www.studienwahl.at/studies/natural-sciences/geosciences-studies/surveying-and-geoinformation/387-geodesy-and-geoinformation-12-3-wien.en.html","German","Austria",NA,"Yes",51.039135,13.737675
"Geodesy","Technische Universität Graz","Bachelor","https://www.studienwahl.at/studies/natural-sciences/geosciences-studies/surveying-and-geoinformation/405-geodesy-2-3-graz.en.html","German","Austria",180,"Yes",51.039135,13.737675
"Geodesy","Technische Universität Graz","Master","https://www.studienwahl.at/studies/natural-sciences/geosciences-studies/surveying-and-geoinformation/406-geodesy-12-3-graz.en.html","German","Austria",NA,"Yes",51.039135,13.737675
"Wood and Fibre Technology","Universität für Bodenkultur Wien","Bachelor","https://www.studienwahl.at/studies/engineering-sciences/agriculture/forestry-and-wood-science/460-wood-and-fibre-technology-2-3-wien.en.html","German","Austria",180,"Yes",49.00675,8.393843
"Wood Technology and Management","Universität für Bodenkultur Wien","Master","https://www.studienwahl.at/studies/engineering-sciences/agriculture/forestry-and-wood-science/461-wood-technology-and-management-12-3-wien.en.html","German","Austria",NA,"Yes",49.00675,8.393843
"International Master in Horticultural Sciences","Universität für Bodenkultur Wien","Master","https://www.studienwahl.at/studies/engineering-sciences/agriculture/horticultural-sciences/466-international-master-in-horticultural-sciences-e-12-3-wien.en.html","English","Austria",NA,"Yes",49.00675,8.393843
